path	role	sha256	bytes
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/candidates/W_A3/APP-PKG08/DEL-08-05/ScopeOfWork.md	CANDIDATE_OR_FIXTURE	8a1f1214aebf3d7c8b1a4dfb4fad71b0142e311e663573b6d60a21d0d8ca2167	39018
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/CHECKS.md	AUTHOR_EVIDENCE	db02a08ae2418f1451a26d0b957f24098d001faa92e91451c92286fd8b9637d6	2427
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/DETERMINISM.tsv	AUTHOR_EVIDENCE	3c32e11aba81b8d921fe06a12b3e8a78e0655c52253a92732a2524b6c34f5c99	857
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/EVIDENCE_AMENDMENT_01.md	EVIDENCE_AMENDMENT	b89aac73ba6e1074cc3fe3a6d80ca30530bb3996b5988e683527a26ae21d8a7e	996
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/LAUNCH_BRIEF.md	SEALED_INPUT	dd6b9f2b0abc3dc4e20023e2b1a81dd2041b18f129ebc67bfc79b723b2a576d2	3345
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/NEGATIVE_RESULTS.tsv	AUTHOR_EVIDENCE	d65667544a88602d3f664674651570a1be98f7d782a4757515c7604459c84f92	316
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/PORTABILITY.md	AUTHOR_EVIDENCE	3dd6d12fbf9b7c53cef1f2c9e1d1abb9d71d3982d77b2f555eaaaf3a889fb22a	601
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/PRESERVED_SOURCE_LITERAL_INVENTORY.md	AUTHOR_EVIDENCE	141e4d2a6a4e0bae13cfdba2f91323fef081d153e315aea8c8f1991353385f41	924
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/RETURN.md	TERMINAL_RETURN	652afdb8a2169deb3c56a23fb3235b5a3982af36b50d220094f10969a2e4b9ce	3076
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/SEED_TRACE.tsv	AUTHOR_EVIDENCE	15264a9bfcf0b41ebe0a7b817b96c581c6cf018facf4204969e2338b9d22ec4f	2639
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/SOURCE_HASHES.tsv	AUTHOR_EVIDENCE	4c6fa4878a1c9009a641f9a3738ef24f0ed1ae69d14217af78f4ec5de402138c	1446
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/STATUS.json	TERMINAL_STATUS	476128a8f02ec47e37fc7dc825e91cb22b3a7edd6022e4b9d671fc72e0e50b51	853
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/workspace/Datasheet.md	PRESERVED_SOURCE	7cd96f1df3e7498364a7921f05bf74c6b3353580f577e7aa701424b3ff12055b	5902
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/workspace/Dependencies.csv	PRESERVED_CONTROL	a7357e2d2e5ce33c1f33efa83a2c1f63c990494718b2001b1bc808a05c00d440	6074
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/workspace/Guidance.md	PRESERVED_SOURCE	443ba89940a1ca587d96325dad769eb57023b5efc68df93eeb26927c0767f04d	6895
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/workspace/Procedure.md	PRESERVED_SOURCE	ba4bdbb0c9c414ee85d61c45c360c40cff6a00cd59f1fb0db5dfcb606885e417	5471
execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A3-PKG08/children/AUTHOR-DEL-08-05/workspace/ScopeOfWork.md	CANDIDATE_OR_FIXTURE	8a1f1214aebf3d7c8b1a4dfb4fad71b0142e311e663573b6d60a21d0d8ca2167	39018
