AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-PD028-00001,1,"This scope-change brief describes how OpenPipeStress_PRD_v0.2.md differs from the earlier PRD.md, written for software-development agents changing OpenPipeStress's scope of work.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L3|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0001,2558546061dd,IN,SEC-PD028-0001,UNIT-PD028-0001,,
HBA-PD028-00002,2,The new PRD does not remove the piping stress analytical engine; it preserves the ambition of a serious piping stress engine.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L9|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,f8056ff8e193,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00003,3,The product is no longer scoped as a standalone free and open-source piping stress analysis platform as in the original PRD.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L9|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,d8da294fae43,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00004,4,The new PRD scopes the product as an analysis-grade piping design engine and stress-model authoring environment that uses a full internal solver for design iteration.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L9|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,9eda1b4db414,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00005,5,The product produces handoff-ready model data for downstream professional validation.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L9|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,57641b576611,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00006,6,The original PRD positioned the product around global piping flexibility and stress analysis.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L11|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,44a2c8140f18,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00007,7,"The new PRD positions the product around design knowledge, schema-backed physical modeling, GUI/agent-assisted iteration, state comparison, and prover-tool handoff.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L11|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,a34e99b36493,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00008,8,Primary development instruction: keep building the serious piping stress engine but move the architecture from solver+GUI+reports to schema-backed design model + solver + GUI + model states + comparison + handoff workflow.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L15|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0002,3164b6732d9e,IN,SEC-PD028-0002,UNIT-PD028-0001,,
HBA-PD028-00009,9,The original PRD described OpenPipeStress as a free and open-source piping stress analysis platform.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0004,9790d5e825ef,IN,SEC-PD028-0004,UNIT-PD028-0001,,
HBA-PD028-00010,10,"The original product vision was to become the leading transparent, auditable, code-neutral, open-source platform for piping flexibility and stress analysis.",@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L27|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0004,debae4da87d4,IN,SEC-PD028-0004,UNIT-PD028-0001,,
HBA-PD028-00011,11,The original core concept is open mechanics in the solver with user-owned code knowledge held in private data and rule packs.,@repo/docs/_ScopeChange/OpenPipeStress_PRD_v0.2_Scope_Change_Brief.md:L27|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SCOPECHANGE-OPENPIPESTRESS-PRD-V0-2-SCOPE-CHANGE-BRIEF.html#SEC-PD028-0004,9c254a3a3c8d,IN,SEC-PD028-0004,UNIT-PD028-0001,,
