TraceRowID,Product,SourceLayer,SourceID,SourceAssertion,DownstreamRefs,Disposition,Notes
A-T-001,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-001,"Coherent and discoverable normative authority: a reader can determine what governs, from the repository alone, including which document is authoritative, whether it is ratified, and what superseded it, with no ratified clause carrying an unrecorded conflicting live variant.",docs/PRD_ROOT.md#§3 OBJ-1; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-001; DEL-01-01_Genus_Concordance_Closure_and_Standing_Map;DEL-01-02_Invariant_Catalog_Conformance_Register;DEL-01-03_Authority_Chain_and_Conflict_Surfacing_Conformance;DEL-01-07_Jurisdiction_Accountability_and_v1_User_Scope_Register;DEL-01-08_Non_Goal_Boundary_and_Open_Conflict_Register;DEL-02-01_Instruction_Surface_Membership_and_Release_Management;DEL-02-05_Live_Registry_Discipline_for_Skills_and_Tools;DEL-04-07_Public_Export_Boundary_Conformance;DEL-04-09_PRD_Source_Currency_Check_Capability; SOW-006;SOW-013;SOW-016;SOW-018;SOW-022;SOW-025;SOW-026;SOW-030;SOW-044;SOW-048;SOW-084;SOW-088;SOW-089;SOW-090;SOW-091;SOW-095;SOW-098;SOW-099,TRACED,Accepted objective maps to scope items and live deliverables.
A-T-002,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-002,"Governed production of professional knowledge work: at least one complete deliverable stream runs decomposition -> package/deliverable -> checking -> issuance decision, with every consequential acceptance, reliance and issuance judgment performed by an accountable human, demonstrated at root and in at least one situated working root.",docs/PRD_ROOT.md#§3 OBJ-2; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-002; DEL-01-04_Human_Authority_and_Three_Judgment_Gate_Model;DEL-01-06_Four_Pillars_and_Professional_Responsibility_Conformance;DEL-02-02_Three_Layer_Authority_Boundary_Conformance;DEL-02-03_Delegation_Hierarchy_and_Entry_Rules;DEL-03-02_Execution_Structure_and_Lifecycle_Conformance;DEL-03-06_Root_Materialization_Readiness_and_Deliverable_Stream;DEL-04-02_Identity_Attribution_and_Refusal_Controls;DEL-04-06_Change_Management_and_Human_Gated_Closeout; SOW-002;SOW-011;SOW-017;SOW-024;SOW-027;SOW-028;SOW-032;SOW-035;SOW-038;SOW-042;SOW-043,PARTIAL,Root half traced; situated-working-root issuance demonstration is expressly deferred by D-GOV-25.
A-T-003,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-003,"The human evaluation and iteration loops close: every accepted change has a retrievable linkage from files alone between evidence, ruling, and changed state (universal), and that linkage can be followed within a bounded time on a sample fixed before evaluation (sampled).",docs/PRD_ROOT.md#§3 OBJ-3; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-003; DEL-01-04_Human_Authority_and_Three_Judgment_Gate_Model;DEL-04-01_Decision_Record_and_Terminal_Artifact_Discipline;DEL-04-03_Validation_Severity_and_Override_Controls;DEL-04-04_Governance_Integration_Rules_and_Change_Notice_Routing;DEL-04-05_Root_Governed_Loop_and_Receipt_Discipline;DEL-04-08_PRD_Amendment_and_Attributable_Change_Control;DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration;DEL-05-02_Snapshot_Handoff_and_Receipt_Discipline;DEL-05-03_SHA_Role_Register;DEL-05-04_Claim_Provenance_and_Warrant_Lifecycle;DEL-05-05_Audit_and_Evaluation_Surface_Governance;DEL-05-07_Closure_Criteria_Conformance;DEL-05-08_Evidence_Linkage_Completeness_and_Retrieval_Evaluation;DEL-06-03_Approval_Vehicle_Practice_Record; SOW-009;SOW-010;SOW-021;SOW-036;SOW-037;SOW-039;SOW-040;SOW-041;SOW-045;SOW-047;SOW-051;SOW-053;SOW-054;SOW-055;SOW-056;SOW-058;SOW-059;SOW-064;SOW-085;SOW-102,TRACED,Accepted objective maps to scope items and live deliverables.
A-T-004,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-004,Safe self-application without self-authorization: falsifiers F1-F3 unobserved; every root capability consumed by root development was accepted through the basis or an explicitly accepted predecessor; G0-G4 registered and passing at every materialization.,docs/PRD_ROOT.md#§3 OBJ-4; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-004; DEL-02-04_Declared_Write_Scope_and_Capability_Boundary_Controls;DEL-03-01_Path_Model_and_ScopePath_Containment_Conformance;DEL-03-04_Root_Working_Root_Exception_Conformance;DEL-03-05_Guard_State_Instantiation_and_Registration;DEL-03-06_Root_Materialization_Readiness_and_Deliverable_Stream;DEL-05-06_Validation_Evidence_Mutation_Control;DEL-06-01_Self_Application_Discipline_and_Falsifier_Observation;DEL-06-04_Downward_Variant_Service_and_Non_Weakening;DEL-06-07_Release_Authority_Gate; SOW-001;SOW-019;SOW-020;SOW-029;SOW-034;SOW-057;SOW-060;SOW-061;SOW-062;SOW-063;SOW-069;SOW-080;SOW-081;SOW-082;SOW-086;SOW-087,TRACED,Accepted objective maps to scope items and live deliverables.
A-T-005,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-005,"Situated specialization with governed convergence: at least one candidate pattern originating in a situated working root reaches a complete promotion disposition with evidence linkage intact, and every root change claiming variant-derived provenance used the governed promotion path.",docs/PRD_ROOT.md#§3 OBJ-5; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-005; DEL-06-04_Downward_Variant_Service_and_Non_Weakening;DEL-06-05_Domain_Engine_Truth_Boundary;DEL-06-06_Governed_Promotion_Pathway;DEL-06-08_Situated_Working_Root_Convergence_Demonstration; SOW-003;SOW-015;SOW-067;SOW-068;SOW-070;SOW-071;SOW-072;SOW-073,TRACED,Accepted objective maps to scope items and live deliverables.
A-T-006,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-006,"Coordination remains intelligible as concurrent activity grows: for every root-product run record, declared write ownership, dependencies, and pending gates are reconstructible from recorded state; interrupted or abandoned runs are detectable as stale or orphaned; concurrent sibling write targets are disjoint or serialized.",docs/PRD_ROOT.md#§3 OBJ-6; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-006; DEL-03-03_Dependency_Register_and_Derived_Graph_Boundary;DEL-05-01_Run_Record_Tree_Conformance;DEL-06-02_Concurrency_Mechanism_Legibility_and_Run_State_Reconstruction; SOW-033;SOW-052;SOW-065;SOW-066,TRACED,Accepted objective maps to scope items and live deliverables.
A-T-007,ROOT,DECOMPOSITION_OBJECTIVE,OBJ-007,File-native continuity and recoverability: the full governed state survives loss of every non-file substrate and is recoverable from the checkout alone.,docs/PRD_ROOT.md#§3 OBJ-7; execution/_Decomposition/chirality_root_objective_register_v1_0.csv#OBJ-007; DEL-01-05_File_Native_Authority_Substrate_Conformance;DEL-03-01_Path_Model_and_ScopePath_Containment_Conformance; SOW-014;SOW-031,TRACED,Accepted objective maps to scope items and live deliverables.
A-T-008,ROOT,LIVE_SOW,DEL-01-01,Genus Concordance Closure and Standing Map,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-01_Genus_Concordance_Closure_and_Standing_Map/ScopeOfWork.md#frontmatter; sha256:abfc9f8c1ed3,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-009,ROOT,LIVE_SOW,DEL-01-02,Invariant Catalog Conformance Register,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-02_Invariant_Catalog_Conformance_Register/ScopeOfWork.md#frontmatter; sha256:fa4df02d2a8d,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
A-T-010,ROOT,LIVE_SOW,DEL-01-03,Authority Chain and Conflict Surfacing Conformance,execution/PKG-01_Product_Definition_Normative_Basis_and_Authority/1_Working/DEL-01-03_Authority_Chain_and_Conflict_Surfacing_Conformance/ScopeOfWork.md#frontmatter; sha256:fa7443b7075a,TRACED,INITIALIZED; decomposition basis 653fabc9b3e8…; AC/VER definitions remain candidate and are expressed through non-uniform prose.
