BoundaryRowID,Function,SemanticOwner,Producers,Consumers,AuthoritativeRecord,CompatibilityObligation,FallbackBehavior,ChangeRoute,Disposition,EvidenceRefs
B-B-001,Root normative authority,Human owner under Tier-0/Root decisions,Root governance and accepted PRD/decomposition workflows,"Root agents, projects, downstream products","docs governance corpus, accepted PRD, accepted decomposition, ruled decisions","Pointers and supersession records must preserve exact identity and conflict visibility","Files and Git remain sufficient; no non-file substrate required","Root governed loop and owner ruling",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:docs/PRD_ROOT.md#Authority; da31c19b5656dd74615e308c4215688971d33dc9:docs/governance_harness/_DECISIONS/D-GOV-22_root_prd_adoption.md#Ruling"
B-B-002,Root shared runtime,Root product / D-GOV-20,"runtime daemon, engine adapters, CLI and client libraries","App, PEC, future clients and project adapters","runtime/ contracts plus D-GOV-20","Provider-neutral contracts and client compatibility must evolve without granting project authority","Clients may operate their own governed acts without runtime transport only where their product contract permits","Root runtime change under Root authority plus routed client notices",PARTIAL,"da31c19b5656dd74615e308c4215688971d33dc9:docs/governance_harness/_DECISIONS/D-GOV-20_shared_runtime_local_agent_pilot.md#Ownership-and-authority; da31c19b5656dd74615e308c4215688971d33dc9:execution/_Decomposition/chirality_root_deliverable_register_v1_0.csv#DEL-02-02"
B-B-003,App runtime client/work surface,App product under D-APP-73,"Desktop UI, client adapters, compatibility adapters","Human operator and Root runtime","App accepted PRD/corpus and App SOWs; Root runtime contracts for transport semantics","App must track Root runtime contract changes while preserving App permission and evidence rules","App project/file work remains governed even if optional client affordances are unavailable","App SCOPE_CHANGE plus Root notice intake",CONFLICT,"da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-73_RULING_2026-07-22.md#Ruling; da31c19b5656dd74615e308c4215688971d33dc9:projects/chirality-app-dev/execution/PKG-03_Runtime_Engine_Contract_and_Turn_Lifecycle/1_Working/DEL-03-01_AgentEnginePort_and_Engine_Conformance_Suite/ScopeOfWork.md#Purpose"
B-B-004,PEC deterministic projection,PEC product,"File/Git parsers and reconciliation core","Harness-owned orientation consumers and dashboards","Rebuildable record-tier store with per-claim citations back to file/Git truth","Derived schema is additive and citations expose examined-through SHA/freshness","Delete store and rebuild; governed acts continue without PEC","PEC owner-gated packet then SCOPE_CHANGE/WORKING_ITEMS",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/docs/PRD.md#PEC-K-01-through-PEC-K-11; da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md#Constraints"
B-B-005,PEC ephemeral presence,PEC presence tier with daemon/hook producers,"Runtime daemon feeds, hooks CLI, Git/worktree scanner","Human dashboards and advisory overlap detection","Expected-loss presence tier; never record-tier authority","TTL and heartbeat age; presence excluded from record-tier citations","Presence may disappear; reconciliation and governed workflows remain valid","PEC stream/client seam change with Root compatibility notice",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/docs/PRD.md#PEC-K-05-PEC-K-07; da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/execution/_Decomposition/Deliverables.csv#DEL-06-05"
B-B-006,Human judgment,Accountable human owner,"Agents and tools produce proposals/evidence only","All governed product workflows","Ruled decision records and human-gated lifecycle instruments","No agent/tool may substitute acceptance, reliance, issuance, scope, or authority judgment","Work stops or remains candidate at the human gate","Owning workflow's explicit approval vehicle",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:docs/PRD_ROOT.md#Three-judgment-gates; da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Governance-Integration-Rules"
B-B-007,Domain truth,Each registered domain engine/domain project,"Domain adapters, solvers, accepted domain sources","Root/App/PEC as bounded clients of domain outputs","Domain-owned protected paths, profiles, evidence and owner gates","Generic runtime and clients cannot reinterpret or promote domain truth","Without a domain engine, generic products remain non-domain-authoritative","DOMAIN_ENGINE proposal/handoff and domain owner gate",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:agents/AGENT_DOMAIN_ENGINE.md#Authority-boundary; da31c19b5656dd74615e308c4215688971d33dc9:docs/PRD_ROOT.md#K-DOMAIN"
B-B-008,Git and file truth,Owning product workflow,"Human/agent writes accepted through governed changes","All products, PEC parsers and reviewers","Reachable Git object bytes and accepted file-native instruments","Hashes, pointers, snapshots and supersession roles must remain reconstructible","Loss of databases, caches, streams or UI must not lose governed state","CHANGE plus owning decision/snapshot route",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:docs/PRD_ROOT.md#OBJ-7; da31c19b5656dd74615e308c4215688971d33dc9:projects/pec/docs/PRD.md#PEC-K-02"
B-B-009,Agent delegation,Agent 0/Agent 1 hierarchy with human authority,"Managed child sessions under sealed briefs","Parent manager and governed work graph","AGENTS.md and named AGENT_* contracts plus durable run records","No capability inheritance; children remain scope/tool/write bounded","If no executable child mechanism exists, multi-agent stage defers or work remains single-agent","HELPS_HUMANS agent-index change with notices and owner approval where required",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Delegation-and-Entry-Rules; da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Multi-Agent-Orchestration"
B-B-010,Tools and permissions,Owning agent/workflow contract,"Registered deterministic tools and explicitly permitted shell/tool surfaces","Agent instances and workflow validators","AGENT_*/skill/tool registry plus sealed brief and run evidence","Tool availability never grants semantic authority; write scopes remain explicit","Unavailable tools stop only dependent acts or require a lawful alternative","HELPS_HUMANS/tool registry and owning workflow acceptance",EXPLICIT,"da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#What-Is-an-Agent; da31c19b5656dd74615e308c4215688971d33dc9:AGENTS.md#Delegation-and-Entry-Rules"
