SourceScopeID,SourceInOut,SourceStatement,SourcePackages,SourceDeliverables,Successors,SourceObjectives,Disposition,ReplacementRule,OpenIssue,State,ExactPredicateSource
SOW-001,IN,v1 is reached only when the D-GOV-21 §6 sequence has closed through step 9 - root packages materialized from an accepted root decomposition with G0-G4 registered and passing.,PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-05_Guard_State_Instantiation_and_Registration;DEL-03-06_Root_Materialization_Readiness_and_Deliverable_Stream,GOV-03-05;GOV-03-06,OBJ-004,TRANSFER_OR_REHOME,Root governance readiness requires accepted 46-control/104-scope coverage and registered passing governance-mode G0–G4; no new Root product materialization is required.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-001
SOW-002,IN,v1 requires the root product's own governed loop to have carried at least one complete deliverable stream end to end.,PKG-03_Governed_Execution_Structure_and_Root_Containment,DEL-03-06_Root_Materialization_Readiness_and_Deliverable_Stream,GOV-03-06,OBJ-002,TRANSFER_OR_REHOME,"Root governance must complete one bounded instruction/governance change through source discovery, declared scope, implementation, independent checking, accountable owner acceptance and human-directed Git closeout. Runtime delivery does not satisfy it by implication.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-002
SOW-003,IN,v1 requires at least one situated working root operating on the same instruction basis with a recorded convergence path.,PKG-06_Self_Application_Variants_and_Release,DEL-06-08_Situated_Working_Root_Convergence_Demonstration,GOV-06-08,OBJ-005,TRANSFER_OR_REHOME,The runtime project must actually operate a bounded governed run on an accepted shared instruction basis and record its convergence/drift/adoption disposition; relocation or candidate registration is insufficient.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-003
SOW-004,IN,Completeness is claimed only for the stated v1 boundary; if the owner defines v1 differently the success conditions re-scope accordingly.,PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration,GOV-04-10,,TRANSFER_OR_REHOME,Completeness is claimed only for the accepted governance readiness boundary; any later change to its success conditions requires an attributable amendment.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-004
SOW-005,IN,"Objectives are objectives of the product rather than of any single tranche, and objectives unmapped at decomposition time are surfaced as open issues rather than silently dropped.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration,GOV-04-10,,TRANSFER_OR_REHOME,Root governance objectives persist beyond any single tranche. Every retained duty must resolve to a control or explicit unresolved disposition; runtime product objectives use the separately accepted runtime charter and ordinary decomposition.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-005
SOW-006,IN,"v1 targets the present owner-practitioner on a staged trajectory toward individual professional knowledge workers generally and then multi-practitioner organizations, and that trajectory is what keeps the discoverability condition non-trivial at v1.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-07_Jurisdiction_Accountability_and_v1_User_Scope_Register,GOV-01-07,OBJ-001,TRANSFER_OR_REHOME,"v1 targets the present owner-practitioner on a staged trajectory toward individual professional knowledge workers generally and then multi-practitioner organizations, and that trajectory is what keeps the discoverability condition non-trivial at v1.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-006
SOW-007,OUT,"The B and C stages of the ruled user-scope trajectory are declared trajectory, not v1 scope.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-08_Non_Goal_Boundary_and_Open_Conflict_Register,GOV-01-08,,PRESERVE_EXCLUSION,"The B and C stages of the ruled user-scope trajectory are declared trajectory, not v1 scope.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-007
SOW-008,IN,"The root product is constituted by four functional categories - normative basis, operative product, developmental machinery, and evidence.",PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-10_Decomposition_Pipeline_and_Root_Coverage_Demonstration,GOV-04-10,,TRANSFER_OR_REHOME,"Four functional categories describe Root governance and its relationship to project work: normative basis, operative work, developmental machinery and evidence. They do not constitute an active Root product decomposition.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-008
SOW-009,IN,The categories are related by a generative loop whose closing step - human judgment - no agent can perform.,PKG-04_Developmental_Machinery_and_Change_Control,DEL-04-05_Root_Governed_Loop_and_Receipt_Discipline;DEL-05-08_Evidence_Linkage_Completeness_and_Retrieval_Evaluation,GOV-04-05;GOV-05-08,OBJ-003,TRANSFER_OR_REHOME,The categories are related by a generative loop whose closing step - human judgment - no agent can perform.,FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-009
SOW-010,IN,"The single human-judgment step resolves into three judgments that must not be collapsed: evaluation of the work, iteration on the product, and the release lifecycle judgment.",PKG-01_Product_Definition_Normative_Basis_and_Authority,DEL-01-04_Human_Authority_and_Three_Judgment_Gate_Model,GOV-01-04,OBJ-003,TRANSFER_OR_REHOME,"Human evaluation of work, iteration on governed change and release judgment remain distinct; Root instruction publication and runtime product release have separate subjects and accountable acts.",FALSE,CANDIDATE_NOT_ACCEPTED,CANON/SCOPE_PREDICATE_SUCCESSORS.csv SOW-010
