ClaimRowID,DeliverableID,ContractPath,Section,LocalID,ClaimClass,ClaimText,AcceptedSourceRefs,Disposition,RepairNeeded,RepairInstruction,SourceState,Notes
DEL-10-10-001,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Purpose and Objective Traceability,CLM-001,CLM,"- CLM-001 — The accepted `ScopeLedger.csv` row for `SOW-064` reads in full, under the column order `ScopeItemID,InOutStatus,ScopeItemStatement,SourceRef,PackageID,DeliverableIDs,ObjectiveIDs,DecisionRef,OpenIssue,Notes`:",projects/pec/execution/_Decomposition/ScopeLedger.csv SOW-064; SOFTWARE_DECOMP.md rev1.3 SOW-064; PRD v2.2 §12; D-PEC-61; D-PEC-68; SCA-003; D-PEC-69,DOCUMENTED_DIFFERENTLY,YES,"Preserve the scope statement, mappings, decision refs, and notes; replace the quoted ScopeLedger and SSOW source references with PRD v2.2 §12, D-PEC-61, D-PEC-68 exactly as revision 1.3 records them.",source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,Exact-correction candidate at ScopeOfWork.md line 107; no target edit in W1.
DEL-10-10-002,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Purpose and Objective Traceability,CLM-002,CLM,"- CLM-002 — The `SourceRef`'s first locus is `docs/PRD.md` v2.1 §12 ""Release strategy"", whose two closing paragraphs are the accepted statement of the directed bootstrap and are quoted here in full:",projects/pec/docs/PRD.md v2.2 §12; SOFTWARE_DECOMP.md rev1.3 OI-010; D-PEC-61; D-PEC-68; SCA-003; D-PEC-69,DOCUMENTED_DIFFERENTLY,YES,"Identify PRD v2.2 §12 as the current locus; preserve the directed-bootstrap paragraphs; replace the obsolete current P1 piping-or-root row with PEC own build graph, and retain OI-010 only as historical provenance for the now-incorporated clarification.",source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,Exact-correction candidate at ScopeOfWork.md line 116; no target edit in W1.
DEL-10-10-003,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Purpose and Objective Traceability,CLM-003,CLM,"- CLM-003 — The `SourceRef`'s second locus is `D-PEC-61`, ruled 2026-07-24, whose ruled behavior item 1 states the §12 clarification in the decision's own voice:",ScopeOfWork.md embedded citations; projects/pec/docs/PRD.md v2.2; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3; D-PEC-69 frozen basis,ALIGNED,NO,NONE,source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,No v2.2/SCA-003 incompatibility found at ScopeOfWork.md line 136.
DEL-10-10-004,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Purpose and Objective Traceability,CLM-004,CLM,"- CLM-004 — Hard constraint `C16` of `SOFTWARE_DECOMP.md` §1.3 is the decomposition-side form of the same rule, quoted in full from the row whose columns are `# | Constraint | Source`: ""| C16 | Directed self-bootstrap for PEC's own build: `PROJECT_SETUP` materializes the accepted decomposition as `FULL_GRAPH`; later nodes consume only PEC capabilities produced and accepted by predecessor nodes; no node depends on the capability it creates; observed friction routes to evidence-linked candidates and human gates; the file-native fallback remains operable | PRD v2.1 §12, D-PEC-61 |"". §2's preamble states how such a constraint relates to the scope items, quoted in full: ""Hard constraints C1–C16 (§1.3) bind every item and are not repeated as scope items unless they also require built or verified behavior (DL-7/DL-8)."" `DL-16` records that `SCA-001` added `C16` and expanded `SOW-064` in the same amendment (CLM-017), so the constraint and the scope item are two accepted surfaces of one ruled clarification rather than a constraint restated as scope.",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3 C16; projects/pec/docs/PRD.md v2.2 §12; D-PEC-61; D-PEC-68; SCA-003; D-PEC-69,DOCUMENTED_DIFFERENTLY,YES,"Preserve C16 wording and its relationship to SOW-064; update the quoted C16 Source field from PRD v2.1 §12, D-PEC-61 to PRD v2.2 §12, D-PEC-61, D-PEC-68.",source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,Exact-correction candidate at ScopeOfWork.md line 154; no target edit in W1.
DEL-10-10-005,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Purpose and Objective Traceability,CLM-005,CLM,"- CLM-005 — `OBJ-006` states ""The product thesis remains measurable and falsifiable: adoption, parity, defect, and collision metrics are gathered in system behavior and the §11 falsification clause stays armed"", `SourceRef` `§11`. At revision 1.2 its ""Mapped Scope Items"" cell reads ""SOW-020, SOW-057..060, SOW-064, SOW-084, SOW-085, SOW-093"" and its `MappedDeliverables` cell reads ""DEL-01-04, DEL-03-04, DEL-10-01, DEL-10-04, DEL-10-05, DEL-10-09, DEL-10-10, DEL-10-11, DEL-10-12"" (`SOFTWARE_DECOMP.md` §3). The `PRD.md` §11 falsification clause it names reads in full: ""**Falsification clause:** if, after Phase 3, harness poll adoption remains negligible and the owner does not consult the dashboards, the product thesis is falsified; PEC is deleted and, by PEC-K-01, nothing breaks."" The §11 numbered metric list — Step-0 cost, orientation defect rate, collision incidents, harness poll adoption, parity, and the kill test — does not name the bootstrap progression among its six measurements; the register maps this scope item to this objective directly and this contract states the mapping at that strength, without deriving it from the §11 list.",projects/pec/docs/PRD.md v2.2 §11; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3 OBJ-006; SCA-003; D-PEC-68; D-PEC-69,DOCUMENTED_DIFFERENTLY,YES,"Preserve the register-direct SOW-064/DEL-10-10 to OBJ-006 mapping; update the basis to revision 1.3 and replace harness poll adoption and the old falsification quotation with PRD v2.2 consumer uptake, explicit enablement/enabled-consumer use, and the no-receiving-loop-conformance boundary.",source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,Exact-correction candidate at ScopeOfWork.md line 155; no target edit in W1.
DEL-10-10-006,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Purpose and Objective Traceability,CLM-006,CLM,"- CLM-006 — `PKG-10` is ""Validation & Measurement — Release-gating proof and metrics: kill test, no-ruling-write verification, Step-0 baseline, defect/adoption/collision/parity measurement, seeded-conflict, TTL-honesty and stream-loss tests, usage observability, directed bootstrap progression evidence"", assigned ""SOW-025, 055, 058..064, 084, 085, 093 (12)"", with **Exclusions** ""The behaviors under test (their home packages)"" (`SOFTWARE_DECOMP.md` §4, columns `PackageID | Name | Scope Description (work domain) | Assigned (count) | Exclusions`). The package charter names this deliverable's contribution in its own words: ""directed bootstrap progression evidence"".",ScopeOfWork.md embedded citations; projects/pec/docs/PRD.md v2.2; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3; D-PEC-69 frozen basis,ALIGNED,NO,NONE,source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,No v2.2/SCA-003 incompatibility found at ScopeOfWork.md line 156.
DEL-10-10-007,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Deliverable Definition — Ontology,OUT-001,OUT,"- OUT-001 — One bootstrap progression record for PEC v2's own build, maintained as a standing validation: it evidences ingestion of PEC's accepted full dependency DAG as the initial file-native coordination state; capability cutovers taken only after predecessor acceptance; observed coordination friction; proposed, rejected, and unnecessary functions; the file-native fallback's continued operability; and the routes taken from observations to human-gated decisions or amendments. The record's **declared maintenance-and-rerun statement** — the readable part of the record in which it states where it lives, what appends to it, and at what occasions it is re-run (REQ-008) — is a component of this output rather than a second artifact, so the register's naming of one cohesive record is preserved.",ScopeOfWork.md embedded citations; projects/pec/docs/PRD.md v2.2; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3; D-PEC-69 frozen basis,ALIGNED,NO,NONE,source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,No v2.2/SCA-003 incompatibility found at ScopeOfWork.md line 167.
DEL-10-10-008,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Identity of record,CLM-007,CLM,"- CLM-007 — `DEL-10-10` is named ""Directed bootstrap self-ingest validation"", Type `TEST_SUITE`, Context Envelope `M`, `PhaseHint` `P1`, `ResponsibleParty` `TBD`, `CoversScopeItems` `SOW-064`, `SupportsObjectives` `OBJ-006`. Its `Deliverables.csv` row reads in full, under the column order `DeliverableID,PackageID,Name,Description,Type,ResponsibleParty,AnticipatedArtifacts,CoversScopeItems,SupportsObjectives,ContextEnvelope,ContextEnvelopeNotes,PhaseHint`:",ScopeOfWork.md embedded citations; projects/pec/docs/PRD.md v2.2; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3; D-PEC-69 frozen basis,ALIGNED,NO,NONE,source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,No v2.2/SCA-003 incompatibility found at ScopeOfWork.md line 171.
DEL-10-10-009,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Identity of record,CLM-008,CLM,"- CLM-008 — `DEL-10-10` is named in constraint row `C-08` `STANDING_NODES` of the accepted gate exhibit. The row reads in full, under the exhibit's constraint-register columns `ConstraintID,Kind,Parties,Provenance,Statement,Notes`:",ScopeOfWork.md embedded citations; projects/pec/docs/PRD.md v2.2; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3; D-PEC-69 frozen basis,ALIGNED,NO,NONE,source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,No v2.2/SCA-003 incompatibility found at ScopeOfWork.md line 179.
DEL-10-10-010,DEL-10-10,projects/pec/execution/PKG-10_Validation_Measurement/1_Working/DEL-10-10_Directed_bootstrap_self_ingest_validation/ScopeOfWork.md,Placement in the work graph,CLM-009,CLM,"- CLM-009 — This deliverable's `Dependencies.csv` (`RegisterSchemaVersion` `v3.1`) holds exactly four rows: two `ANCHOR` rows and two `EXECUTION` upstream rows. The anchors are `DEP-10-10-001` (`AnchorType` `IMPLEMENTS_NODE`, `TargetRefID` `PKG-10`, `Statement` ""DEL-10-10 is package-local to PKG-10."", `SatisfactionStatus` `SATISFIED`) and `DEP-10-10-002` (`AnchorType` `TRACES_TO_REQUIREMENT`, `TargetRefID` `SOW-064`, `Statement` ""DEL-10-10 covers scope item SOW-064."", `SatisfactionStatus` `SATISFIED`). The two `EXECUTION` rows are `UPSTREAM` `PREREQUISITE` edges at `RequiredMaturity` `INITIALIZED`, `ProposedMaturity` `TBD`, `SatisfactionStatus` `PENDING`, `Confidence` `MEDIUM`, `Explicitness` `IMPLICIT`, `Origin` `EXTRACTED`, `Status` `ACTIVE`, `FirstSeen` and `LastSeen` `2026-07-25`, `EvidenceFile` `execution/_Coordination/PLAN_2026-07-25_project_setup_dag_gate.md`, attributed by column below:",ScopeOfWork.md embedded citations; projects/pec/docs/PRD.md v2.2; projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md rev1.3; D-PEC-69 frozen basis,ALIGNED,NO,NONE,source_commit=404e47c16a88e7ffdc6d1fc5fac61ebb6864211e; contract_sha256=5e63c9ff6e2846e93c8e1941d79f7f64a9888c83f16074d7ff404c8806da2be5; status_sha256=24030ebc3d4badfce74149e729a67b6a525522ccd08f048dd4d31811d57905a3,No v2.2/SCA-003 incompatibility found at ScopeOfWork.md line 191.
