source,basis,start_line,end_line,section,clause,disposition,destination,rationale
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,1,1,# Work Loop — session init,# Work Loop — session init,DROP,New init §§1–10,Navigation heading replaced by the new ordered section structure.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,3,7,# Work Loop — session init,"You are resuming, as the next bounded operator, the work loop that lives in
this file's directory. The loop's goal and owner intent are recorded in its
standing plan (step 2) — pursue them as far as live authority permits. Each
iteration starts by discovering the live lawful work surface; make it
explicit, work the widest lawful tranche(s), and stop at owner gates.",DROP,Header / §4,Plan-first explanatory preamble superseded by owner-directed generic init.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,9,13,# Work Loop — session init,"Treat this text as orientation, **not authority**: the standing plan (step 2)
is newer and governs on any conflict — including anything here it contradicts.
This init deliberately restates no facts, rulings, counts, SHAs, or lane
names, so it does not go stale and any loop can reuse it verbatim; the
load-bearing state is re-derived at Step 0.",DROP,Header / §4,Plan-first explanatory preamble superseded by owner-directed generic init.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,15,15,## 1. Bootstrap,## 1. Bootstrap,DROP,New init §§1–10,Navigation heading replaced by the new ordered section structure.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,17,17,## 1. Bootstrap,- Resolve `REPO_ROOT` with `git rev-parse --show-toplevel`; work from there.,KEEP,§1 Bootstrap,Portable root and local-surface resolution.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,18,18,## 1. Bootstrap,- The loop's standing surfaces resolve relative to this file's own directory.,KEEP,§1 Bootstrap,Portable root and local-surface resolution.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,20,20,## 2. Hand off to the plan,## 2. Hand off to the plan,DROP,New init §§1–10,Navigation heading replaced by the new ordered section structure.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,22,30,## 2. Hand off to the plan,"The standing plan is the protocol — read it and do what it says: the newest
`WORKPLAN_*.md` in this file's directory. Its **Step 0 (Discover)** runs
before anything else. The plan carries the loop's recorded owner intent,
protocol, standing constraints, and pointer indexes ONLY — no status, no
history. Current state is re-derived from the live sources the plan names
(registers, profile, git, harness commands); the handoff context (owner
directions, gate outcomes, stale-map deltas) lives in the latest receipts in
`LOOP_RECEIPTS.md` beside this file, whose local rules govern what a receipt
may contain.",KEEP,§4 + Step 0,Replace mandatory-plan precedence with owner-directed optional overlay; retain committed-source discovery.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,32,32,## 3. First return from Step 0,## 3. First return from Step 0,DROP,New init §§1–10,Navigation heading replaced by the new ordered section structure.
_DomainEngines/pec/LOOP_INIT.md,7458e9c1eb9399ed259da464207d9a507acdea2e,34,35,## 3. First return from Step 0,"Your first substantive output is a live orientation return, not a copied plan
or a recap of this file. It should name:",KEEP,§6,First-return contract retained; live gates and widest lawful work are discovered.
