CanonicalTerm,Synonyms,Definition,SourceDocs,SourceRefs,Notes,SourceCount
AGENT_*,,Instruction files audited by the rubric.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L2|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0001;@repo/docs/rubrics/AUDIT_AGENT.md:L8|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0002,,1
AGENT_HELPS_HUMANS.md,Type 0 Canonical Standard R1-R9,Canonical standard that other AGENT_*.md files must conform to.,SRC-DOCS-RUBRICS-AUDIT-AGENT;SRC-DOCS-THESIS-REFERENCES,@repo/docs/rubrics/AUDIT_AGENT.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0001;@repo/docs/rubrics/AUDIT_AGENT.md:L20|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0004;@repo/docs/thesis/references.md:L135|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-REFERENCES.html#SEC-DG031-0010,,2
v2,,"Canonical baseline used for conformance, role model extraction, and contract requirements.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L12|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0003;@repo/docs/rubrics/AUDIT_AGENT.md:L42|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0007,,1
Conforms,,Matches v2 or correctly defers to it.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L12|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0003,,1
Partial,,"Mostly aligns but has ambiguity, drift, or low-risk issues.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L13|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0003,,1
Non-conformant,,"Contradiction, role drift, contract mismatch, or safety/policy conflict.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L14|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0003,,1
Not applicable,N/A,Frame not expected for the layer or file.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0003,,1
Evidence rule,,"Mandatory requirement to provide evidence, canonical requirement, and fix for Partial or Non-conformant marks.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0004,,1
Severity,,"Issue rating assigned as Blocker, High, Medium, or Low.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0005,,1
Canonical role model,,"Summary of primary responsibilities for Agent 0, Agent 1, and Agent 2.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L44|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0008,,1
Canonical contracts,,Minimum required contracts v2 defines that other files must respect.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009;@repo/docs/rubrics/AUDIT_AGENT.md:L50|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009,,1
Canonical glossary,,Key terms and canonical meanings in v2.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L59|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0010,,1
System-wide glossary mapping,,Cross-file record of synonyms and drifts for vocabulary convergence.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L67|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0011;@repo/docs/rubrics/AUDIT_AGENT.md:L68|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0011,,1
Agent 0 / Type 0,Architect,"Canonical or constitutional layer that defines roles, contracts, values, permissions, and interfaces.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0008;@repo/docs/rubrics/AUDIT_AGENT.md:L104|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0016,,1
Agent 1 / Type 1,Manager,"Orchestration layer that decomposes work, writes briefs, routes to specialists, merges, and gates quality.",SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L46|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0008;@repo/docs/rubrics/AUDIT_AGENT.md:L185|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0032,,1
Agent 2 / Type 2,Specialist,Specialist layer that executes a narrow task under a brief and returns outputs with evidence.,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0008;@repo/docs/rubrics/AUDIT_AGENT.md:L250|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0045,,1
Brief schema,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009;@repo/docs/rubrics/AUDIT_AGENT.md:L204|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0036,,1
Output schema,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009;@repo/docs/rubrics/AUDIT_AGENT.md:L260|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0047,,1
Provenance / evidence,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009,,1
QA gates / review,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L54|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009,,1
Decision-rights / escalation,,,SRC-DOCS-RUBRICS-AUDIT-AGENT,@repo/docs/rubrics/AUDIT_AGENT.md:L55|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0009;@repo/docs/rubrics/AUDIT_AGENT.md:L125|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-RUBRICS-AUDIT-AGENT.html#SEC-DG010-0020,,1
