CandidateTerm,Synonyms,Definition,SourceRefs,Notes
local-first,local-first by default,Default posture in which user-owned engineering data remains user controlled and stored locally unless intentionally exported or shared.,@repo/docs/security/local_first_storage_policy.md:L34|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0002;@repo/docs/security/local_first_storage_policy.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0001,
SCA-003,SCA-003 local SQLite-backed project store/index,The selected physical project package/container decision: a local SQLite-backed project store/index storing canonical JSON/JCS payload bytes and private indexed projections.,@repo/docs/security/local_first_storage_policy.md:L45|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0002;@repo/docs/security/local_first_storage_policy.md:L58|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0003,
core.security.local_first_storage,metadata-only storage guard helper,Deterministic metadata-only guard helper for storage planning records that classifies only explicit metadata.,@repo/docs/security/local_first_storage_policy.md:L72|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0004,
symbolic path classes,planning classes,Planning classes used for storage until implementation selects concrete roots; not filesystem paths.,@repo/docs/security/local_first_storage_policy.md:L93|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0005;@repo/docs/security/local_first_storage_policy.md:L110|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0005,
fail closed,,"Storage choices must default to explicit warning/finding/unsupported states rather than silent defaults when absent, unknown, or unresolved.",@repo/docs/security/local_first_storage_policy.md:L54|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0003,
canonical JSON/JCS-compatible payload bytes,canonical JSON/JCS-compatible payload truth,"The domain and interchange truth; SQLite tables are projection details, not public contracts.",@repo/docs/security/local_first_storage_policy.md:L155|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0007;@repo/docs/security/local_first_storage_policy.md:L229|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0011,
persistence baseline,project persistence baseline,"The set of persistence requirements local-first storage must preserve (versioned, schema-governed, unit-aware, provenance-preserving, migration-aware, round-trip).",@repo/docs/security/local_first_storage_policy.md:L141|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0007,
public repository,public repository paths,"Not a default durable storage location for private project, rule-pack, material, component, report, diagnostic, secret, or proprietary data.",@repo/docs/security/local_first_storage_policy.md:L41|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0002;@repo/docs/security/local_first_storage_policy.md:L118|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0006,
no-bypass surfaces,,"Controls that no plugin manifest, adapter, CLI option, imported file, report template, rule pack, telemetry, or environment default can bypass.",@repo/docs/security/local_first_storage_policy.md:L171|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0008,
DEL-12-01,,,@repo/docs/security/local_first_storage_policy.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0001;@repo/docs/security/local_first_storage_policy.md:L215|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SECURITY-LOCAL-FIRST-STORAGE-POLICY.html#SEC-PD031-0011,Owning deliverable for this policy.
