AmendmentID,ActionSeq,ActionType,EntityType,EntityID,Description,AffectedFiles,DownstreamReruns,SupersessionBindingPresent
SCA-011,1,ADD,DELIVERABLE,DEL-04-07,Instantiate settled DEC-044 integration direction; own product solve composition and assembled nonlinear loop.,Exact files in APPLY_MANIFEST.csv (candidate freeze),"dependency-extract,targeted audit-decomp",NO
SCA-011,2,ADD,DELIVERABLE,DEL-07-11,Create finite desktop shell/host integration owner under SOW-078; feature semantics and persistence remain with existing owners.,Exact files in APPLY_MANIFEST.csv (candidate freeze),"preparation,dependency-extract,targeted audit-decomp",NO
SCA-011,3,ADD,DELIVERABLE,DEL-07-12,Create finite interoperability/evidence-review GUI owner under SOW-079; engines/schema/privacy remain with existing owners.,Exact files in APPLY_MANIFEST.csv (candidate freeze),"preparation,dependency-extract,targeted audit-decomp",NO
SCA-011,4,ADD,DELIVERABLE,DEL-16-06,Create controlled application owner for sole DEC-020 engine with validation/acceptance/current-basis gates.,Exact files in APPLY_MANIFEST.csv (candidate freeze),"preparation,dependency-extract,targeted audit-decomp",NO
SCA-011,5,ADD,OTHER,SOW-078,Add the accepted bounded desktop shell/host scope item and objective coverage.,Exact files in APPLY_MANIFEST.csv (candidate freeze),targeted audit-decomp,NO
SCA-011,6,ADD,OTHER,SOW-079,Add the accepted bounded interoperability/evidence-review GUI scope item and objective coverage.,Exact files in APPLY_MANIFEST.csv (candidate freeze),targeted audit-decomp,NO
SCA-011,7,MODIFY,OTHER,DEC-094 implementation allocation,"Clarify coverage versus implementation, palette rendering, load editing and support inspection; preserve NORMATIVE-NOW/ROADMAP and reserved generator.",Exact files in APPLY_MANIFEST.csv (candidate freeze),"targeted reconciliation,dependency-extract",YES
SCA-011,8,MODIFY,OTHER,Existing owner interfaces,"Apply source-bound carrier changes for solve/math, controlled application/acceptance/audit, editor/library/provenance and rule/status/unit responsibilities.",Exact files in APPLY_MANIFEST.csv (candidate freeze),"targeted reconciliation,dependency-extract",YES
SCA-011,9,MODIFY,OTHER,Result interface ownership,"Name ValidationResult, TransformResult and comparison interface owners/producers/consumer; draft wire contracts remain unaccepted.",Exact files in APPLY_MANIFEST.csv (candidate freeze),"source-owner interface review,targeted reconciliation,dependency-extract",YES
SCA-011,10,MODIFY,OTHER,Dependency successor candidate,Prepare exact staged dependency delta while preserving every DAG-010 row; no satisfaction promotion.,Exact files in APPLY_MANIFEST.csv (candidate freeze),"deliverable-local dependency-extract,project DAG successor validation",NO
SCA-011,11,MODIFY,OTHER,Scope and context register parity,Regenerate affected scope/deliverable/context/coverage metadata from candidate decomposition; preserve unrelated values.,Exact files in APPLY_MANIFEST.csv (candidate freeze),"targeted audit-decomp,estimate-snapshot advisory",NO
SCA-011,12,MODIFY,OBJECTIVE,OBJ-018,"Correct summary parity: §5 replaces erroneous DEL-12-02 with existing DEL-13-02 mapping from §7, Scope Ledger SOW-067 and docs/_Registers/Deliverables.csv; no new objective or product responsibility.",projects/chirality-piping/execution/_Decomposition/SOFTWARE_DECOMP.md#Objectives;projects/chirality-piping/docs/_Registers/Deliverables.csv,targeted audit-decomp,NO
