FindingID,AtomicUnitID,SourceDoc,AssignedCategoryID,CandidateCategoryIDs,FindingType,Severity,Status,Evidence,Recommendation
G3F-00001,HBA-RT001-00015,SRC-AGENTS,CAT-002,CAT-002:6;CAT-003:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Packages assembled from accepted upstream truth but not themselves authoritative decomposition truth are derivative packages.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00002,HBA-RT001-00018,SRC-AGENTS,CAT-002,CAT-002:6;CAT-003:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,Derivative packages must not be treated as substitutes for decomposition truth.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00003,HBA-RT001-00070,SRC-AGENTS,CAT-004,CAT-004:6;CAT-002:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"SKILLMAKER uses AGENT_SKILLMAKER.md for skill design, governance, and subsystem ownership.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00004,HBA-RT001-00074,SRC-AGENTS,CAT-006,CAT-006:10;CAT-008:10;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"EQUATION_AUDIT iterates extract, human review, prose-note interpretation, fixes, re-extraction, backcheck, and closure.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00005,HBA-RT001-00089,SRC-AGENTS,CAT-003,CAT-003:8;CAT-006:8;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_DECOMP uses AGENT_AUDIT_DECOMP.md for decomposition coverage audit.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00006,HBA-RT001-00106,SRC-AGENTS,CAT-009,CAT-009:7;CAT-003:6;CAT-004:3;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"ORCHESTRATOR dispatches setup, decomposition-support, document-production, semantic, dependency, and estimation skills as required by the active phase.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00007,HBA-RT001-00108,SRC-AGENTS,CAT-003,CAT-003:6;CAT-006:6;CAT-004:3;CAT-002:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,SCOPE_CHANGE dispatches bounded remediation and decomposition-package review skills for closure support.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00008,HBA-RT002-00067,SRC-CHIRALITY-FRAMEWORK,CAT-003,CAT-003:6;CAT-001:5;CAT-006:4;CAT-009:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Folder structure, stable identifiers, decomposition, lifecycle states, dependency records, gate reviews, and change controls coordinate professional work.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00009,HBA-RT002-00152,SRC-CHIRALITY-FRAMEWORK,CAT-001,CAT-001:8;CAT-006:8,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"REVIEWED means a professional has examined the claim, assessed its warrant, and dispositioned findings.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00010,HBA-RT002-00171,SRC-CHIRALITY-FRAMEWORK,CAT-006,CAT-006:7;CAT-001:6;CAT-008:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Epistemology as evidence-first auditable knowledge leads to verification and validation, formal methods, and requirements traceability.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00011,HBA-HX011-00011,SRC-EXPORTS-CHIRALITY-APP-EXPORT-REPORT,CAT-010,CAT-010:6;CAT-011:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,The `LICENSE.md` top-level path contains 1 file in the chirality-app export.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00012,HBA-HX011-00012,SRC-EXPORTS-CHIRALITY-APP-EXPORT-REPORT,CAT-001,CAT-001:6;CAT-010:6,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,The `PROFESSIONAL_ENGINEERING.md` top-level path contains 1 file in the chirality-app export.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00013,HBA-RT006-00046,SRC-PROFESSIONAL-ENGINEERING,CAT-002,CAT-002:9;CAT-001:8;CAT-004:3,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Agent Instruction Architecture is the framework of instruction files, governance documents, invariant contracts, and deterministic tools for supervising AI agents.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00014,HBA-RT006-00096,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-006:8,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,The evaluation framework provides systematic assessment of agent output quality.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00015,HBA-RT006-00109,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-002:7,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Governance documents define design philosophy, physical specifications, domain vocabulary, invariant contracts, and design basis.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00016,HBA-RT006-00117,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-006:7,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Thorough review includes relevant design and operational conditions, including risk assessments and mitigation strategies.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00017,HBA-RT006-00122,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-006:7,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Thorough review includes applicable calculations, analyses, evaluations, and interpretations.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00018,HBA-RT006-00130,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-006:7;CAT-003:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Gate 4 reviews dispositions, with the human ruling on all findings.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00019,HBA-RT006-00161,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-006:7,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,AUDIT_AGENTS verifies agent instruction conformance against the canonical standard and structural requirements.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00020,HBA-RT006-00178,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-006:7;CAT-005:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"Version control provides meaningful diffs for review, reproducibility, rollback, and audits.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00021,HBA-RT006-00203,SRC-PROFESSIONAL-ENGINEERING,CAT-001,CAT-001:8;CAT-002:7;CAT-011:5,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,The firm provides training to licensed professionals on the agent instruction architecture and governance framework.,"Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00022,HBA-RT007-00060,SRC-README,CAT-001,CAT-001:6;CAT-007:5;CAT-010:2,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"The design basis and professional grounding are developed in docs/DBM_Agent_Instruction_Architecture.md, CHIRALITY_FRAMEWORK.md, and PROFESSIONAL_ENGINEERING.md.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
G3F-00023,HBA-RT007-00094,SRC-README,CAT-003,CAT-003:6;CAT-010:6;CAT-005:4;CAT-001:1,AMBIGUOUS_CATEGORY_SIGNAL,ADVISORY,OPEN_PENDING_REVIEW,"domains/piping-design/ is a private/manual domain pack for piping-design knowledge, decomposition state, vocabulary roots, local source corpora, and local indexes.","Review during Gate 3 category acceptance; if the atom is not truly atomic, split only by explicit human decision."
