CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Project document,,The logical persisted project content governed by schema and round-trip requirements.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Guidance.md:L36|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0015",Vocabulary Normalization table; avoid meaning a file extension or physical package format.
Project envelope,,"The versioned top-level contract containing metadata, payload slots, diagnostics/migration status, and reproducibility metadata.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Guidance.md:L36|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0015;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Guidance.md:L19|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0014",Avoid meaning a final schema file path or generated type.
Project file,,A user-facing persistence artifact created/opened/saved by the product.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Guidance.md:L37|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0015",Avoid implying a single JSON file commitment.
Project package/container,container,The physical storage choice such as single file versus packaged container.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Guidance.md:L38|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0015;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Datasheet.md:L27|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0005",Remains TBD under SCA-001/OI-011.
Input manifest,,"A reproducibility record identifying hash inputs, referenced artifacts, and private/rule/library checksums.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Guidance.md:L39|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0015",Avoid meaning a report approval or compliance claim.
Round-trip serialization,round trip;round-trip preservation,Parse->validate/normalize->serialize->parse cycle preserving required project content with deterministic canonical JSON/hash behavior.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Datasheet.md:L49|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0007;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Procedure.md:L57|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0023",
Canonical JSON,JCS-compatible canonicalization,Deterministic JSON serialization basis used for JSON payload hashes.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Datasheet.md:L26|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0005;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Procedure.md:L49|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0023;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Specification.md:L122|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0036",JCS = JSON Canonicalization Scheme.
JSON Schema 2020-12,,The public schema/interchange baseline for the project file schema.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Datasheet.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0005;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Specification.md:L121|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0036",Required by SCA-001; exact file layout TBD.
Migration status,,"Schema-version handling status covering supported/current, unsupported, stale, failed, and newer-than-supported cases.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Specification.md:L85|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0033;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Datasheet.md:L28|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0005",Migration framework/tooling TBD.
Rule-pack reference,rule_pack_refs,"A persisted reference to a rule pack carrying ID/name, version, checksum, source note, and redistribution/private status.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Datasheet.md:L65|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0008;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/Specification.md:L64|_Decomposition/source_review_html/SRC-DEL-DEL-02-05-PROJECT-PERSISTENCE-AND-ROUND-TRIP-SERIALIZATION.html#SEC-ED017-0031",Public fixtures must not embed protected rule content.
