CandidateTerm,Synonyms,Definition,SourceRefs,Notes
3D centerline/frame model,3D frame/centerline model;3D frame model,"Primary global analysis model class for the kernel, with six degrees of freedom per node.",@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L49|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L5|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0026,
six degrees of freedom per node,six-DOF-per-node;six degrees of freedom,Each frame node carries six degrees of freedom; ordering/sign convention is TBD.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Guidance.md:L10|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0012;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
global stiffness assembly,global frame stiffness assembly;frame assembly,Assembly of the global frame stiffness matrix for the system.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L25|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
coordinate transform,coordinate transform handling;local-to-global assembly;coordinate convention,Interface for transforming between local and global frame representations; convention TBD.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L51|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
boundary-condition application,boundary-condition handling;restraints/imposed conditions,Interface for applying restraints/imposed conditions supplied by other deliverables.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L52|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L25|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
sparse solve interface,sparse solve invocation;solver adapter boundary,Solver adapter boundary exposing the selected numerical library for sparse solving.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L54|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L26|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
sparse assembly,sparse global matrix assembly,Sparse global matrix assembly interface; storage format TBD.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L53|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0007,
result envelope,result/diagnostic output;diagnostics/result envelope,Command/query/job result and diagnostic envelope preserving mechanics/rule/human approval separation.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L55|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
unit-aware,dimensionally checked,Kernel interfaces must be unit-aware and dimensionally checked through project unit contracts.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L38|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0006;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L27|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
protected data,protected standards text;proprietary commercial data;protected formulas,"Standards text, tables, figures, examples, formulas, allowables, and proprietary data that are out of bounds.",@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Datasheet.md:L41|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0006;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/Specification.md:L32|_Decomposition/source_review_html/SRC-DEL-DEL-04-01-3D-FRAME-STIFFNESS-KERNEL.html#SEC-ED026-0027,
