ClaimKey,DeliverableID,UnitKind,ClaimType,ClaimClass,ClaimSummary,NormativeSource,DecisionBasis,DeclaredState,RecordedRemaining,ImplementationEvidence,VerificationEvidence,VerificationClass,ValidationEvidence,SourceReliability,LifecycleState,Disposition,Confidence,CauseTag,AuthorityTier,BaselineClass,DivergenceLayers,ContextRefs,RemainingWork,AuthorityNeeded,SelectableUnderCurrentLoop,Notes,SourceStateSHA
DEL-17-05:SOW,DEL-17-05,SURFACE,DECLARED_STATE,DOCUMENTATION,"Whole SOW as declared state: setup-era Phase A contract text overlaid with D-41 currency notes; body still says no code, schema, parser or fixtures exist.",SOW#L1-606,SOFTWARE_DECOMP DEL-17-05 entry; DEC-074 (D-41) PDU-055,Phase A contract with currency overlays,R02,projects/chirality-piping/core/handoff/caepipe_external/run.py;projects/chirality-piping/schemas/caepipe_external_run.schema.json;projects/chirality-piping/fixtures/caepipe_external/invented/caepipe_results.csv;projects/chirality-piping/tests/test_caepipe_external_run_package.py;projects/chirality-piping/apps/desktop/src/features/caepipe-external/CaepipeExternalHarnessPanel.tsx,projects/chirality-piping/tests/test_caepipe_external_run_package.py;projects/chirality-piping/apps/desktop/src/App.test.tsx,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_SETUP_SPECIFICATION,HIGH,DOC_BEHIND_CODE,LOCAL_DESIGN,NONE,CLAIMS,"PR #235 (SOW migration); PR #800 (panel rename); RF-001 OPEN; GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",Owner-ruled refresh replacing Phase A/future wording with the implemented evidence-builder contract and the remaining live-run gates.,OWNER,NOT_APPLICABLE,"Implementation exists (Python evidence builder, schema, invented fixtures, desktop preview panel) while CLM-011/017/025/029 still describe a documents-only phase. RF-001 already records this as an open warning.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#purpose-and-objective-traceability,DEL-17-05,BLOCK,CONTAINER,DOCUMENTATION,Traceability sentence mapping DEL-17-05 to SOW-030/046/075 and OBJ-007/009/017/018; substance carried by OUT-001.,SOW#L12-17,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,COVERED_BY_CHILDREN,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,Scope/objective refs match DAG-010 DeliverableNodes row for DEL-17-05.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#purpose-and-objective-traceability/OUT-001,DEL-17-05,ITEM,REQUIREMENT,INTEROP,Output: an optional user-owned CAEPIPE external-run harness and bounded CSV-parser contract for regression and handoff evidence.,SOW#L16,SOFTWARE_DECOMP DEL-17-05 entry,declared output,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L102-203;projects/chirality-piping/core/handoff/caepipe_external/run.py#L206-298;projects/chirality-piping/schemas/caepipe_external_run.schema.json,projects/chirality-piping/tests/test_caepipe_external_run_package.py,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,"The contract (schema, evidence builder, parser, writer) exists. No code invokes a process; the 'harness' is an evidence-record builder whose live path is gated (see CONTEXT#description).",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#deliverable-definition-ontology,DEL-17-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Section heading spanning CLM-001 to CLM-008.,SOW#L18-121,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,Line range overlaps separately keyed CLM blocks; treated as heading.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-001,DEL-17-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Datasheet heading with PDU-055 currency marker.,SOW#L20-25,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-002,DEL-17-05,BLOCK,DECLARED_STATE,GOVERNANCE,PDU-055 currency declaration (Datasheet): names current authority and says implemented slice supersedes setup-only wording; residuals live in _STATUS Remaining.,SOW#L26-36,DEC-074 (D-41) R5 T7 PDU-055,declared current 2026-07-12,,projects/chirality-piping/execution/_Decomposition/SOFTWARE_DECOMP.md;projects/chirality-piping/execution/_DAG/_LATEST.md,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,HIGH,EVIDENCE_OVERTAKEN,PROJECT_BASELINE,NONE,CLAIMS,projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-05_CAEPIPE external run harness and CSV parser/_run_records/WORKING_ITEMS_RUN_2026-07-12_D41-R5-T7-PDU055-CURRENTNESS.md,"Re-point the declaration to the current decomposition revision and DAG, or retire it when the body is refreshed.",OWNER,NOT_APPLICABLE,"Declaration names SOFTWARE_DECOMP rev 0.8 and DAG-007 as current authority; at the freeze the decomposition is rev 0.12 and _DAG/_LATEST names DAG-010. It also points residuals to _STATUS Remaining, which A4 treats as non-authority. The 'implemented slice supersedes setup wording' clause is a blanket override that leaves stale text in place.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-003,DEL-17-05,BLOCK,DECLARED_STATE,DOCUMENTATION,Identification table; includes 'Current phase: Phase A four-document contract only' and upstream DEL-17-04.,SOW#L37-53,SOFTWARE_DECOMP DEL-17-05 entry,Phase A only,,projects/chirality-piping/core/handoff/caepipe_external/run.py;projects/chirality-piping/execution/_DAG/DAG-010/DeliverableNodes.csv,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_SETUP_SPECIFICATION,HIGH,DOC_BEHIND_CODE,LOCAL_DESIGN,NONE,CLAIMS,PR #235,Update the 'Current phase' field when the body is refreshed.,OWNER,NOT_APPLICABLE,"IDs, package, type, scope and objective refs match DAG-010. Only the 'Current phase' field is false at the freeze; C1 would class this table NON_NORMATIVE, which would hide that.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-004,DEL-17-05,BLOCK,REQUIREMENT,INTEROP,"Attributes: opt-in wrapper around user-licensed CAEPIPE, no bundling, MBF from DEL-17-04, regression-only CSV role, manifest/ID-map correlation, skip and invented-fixture test posture.",SOW#L54-69,SOFTWARE_DECOMP DEL-17-05 entry; PKG-17 exclusions,requirement,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L45-59;projects/chirality-piping/core/handoff/caepipe_external/run.py#L99;projects/chirality-piping/core/handoff/caepipe_external/run.py#L206-298;projects/chirality-piping/fixtures/caepipe_external/invented/caepipe_results.csv,projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_skipped_without_executable_is_nonblocking_and_deterministic;projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_parser_only_package_binds_rows_to_sidecar_stable_ids;projects/chirality-piping/tests/test_caepipe_external_run_package.py::test_fixtures_contain_no_private_or_protected_payload_text,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,"GATE_EVIDENCE/B4_4_SWEEP_9D55 (python_pytest PASS, desktop PASS); GATE_EVIDENCE/PR834_CI (8 checks success)",,NO,NOT_APPLICABLE,Assessed whole. Test-posture attribute is met as skip-evidence packages rather than pytest skips (see CLM-012/DEL-17-05-REQ-012). MBF profile TBD is declared but not carried as a run-record field (see REQ-005).,00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-005,DEL-17-05,BLOCK,CONTEXT,INTEROP,"Conditions: public CAEPIPE pages support MBF import, CSV output and batch runs; first version/profile, stable CSV sections and invocation shape remain TBD.",SOW#L70-84,DEL-17-01 source basis (TBD-17-01-001/004),context with TBDs,,projects/chirality-piping/core/handoff/caepipe_external/run.py#L119-130;projects/chirality-piping/execution/PKG-17_Export Format Interoperability/1_Working/DEL-17-01_CAEPIPE and export-format source basis/ScopeOfWork.md#L109-112,NOT_APPLICABLE,NONE,NOT_APPLICABLE,UNVERIFIED,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,,,NO,NOT_APPLICABLE,"TBD rows still TBD in DEL-17-01 and in code (TBD-17-05-invocation-profile). Vendor-behaviour rows cite external pages that were not fetched (no network); they are context, not audited.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-17-05:SOW#CLM-006,DEL-17-05,BLOCK,CONTAINER,INTEROP,"Construction rules for harness, run directory, parser, run metadata, evidence records and fixtures; split into sub-claims.",SOW#L85-98,,,,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,COVERED_BY_CHILDREN,HIGH,,,,NONE,,,NO,NOT_APPLICABLE,"Worker-added .s01-.s06, one per table row. The 'This Phase A document does not implement it' phrase is stale; recorded at SOW surface and CLM-011.",00115c71931bcae79909602d653740d3bb72dfa1
