FindingID,Concern,Classification,Severity,Scope,Claim,EvidenceRefs,Status,RecommendedOwner,RerunRequirement
PI082-F01,Authority version,CONFLICT,BLOCKER,Root/App authority,"D-APP-72 and accepted App scope/product surfaces authorize Pi 0.80.10 while executable Root/App surfaces declare 0.82.0; D-APP-84 V1 is prospective and expressly does not reconcile the conflict.","projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-72_RULING_2026-07-21.md:21-38; projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-84_RULING_PI_OMLX_AGENT2_CAPABILITY_EXPANSION_2026-08-02.md:42-48; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-GOV/RETURN.md",OPEN,Human owner,"After decision and App successor/SCOPE_CHANGE verify every governed version-bearing surface."
PI082-F02,Dependency closure,CONFORMANT,NONE,App Pi dependency owner,"The App lock reproduces the 139-entry published Pi nested graph and closes 140 unique coding-agent artifacts at registry HTTPS URLs with SHA-512 integrity; all cached artifact bytes matched their SRI.","projects/chirality-app-dev/frontend/package.json:49-52; projects/chirality-app-dev/frontend/package-lock.json:720-790; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-DEP/RETURN.md",PASS,App dependency owner,"Repeat full-map/SRI/cache verification whenever the lock hash changes."
PI082-F03,Install lifecycle,CONFORMANT_WITH_EXECUTION_GAP,MEDIUM,Pi nested closure,"Exactly @google/genai@1.52.0 and protobufjs@7.6.5 carry install scripts; SRI-bound static inspection found a no-op preinstall and manifest-reading stderr-only postinstall, but no isolated clean install was executed by this read-only run.","projects/chirality-app-dev/frontend/scripts/verify-pi-supply-chain.mjs:55-62; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-DEP/RETURN.md",PARTIAL,App dependency/build owner,"Run an authorized isolated npm ci from the accepted lock and preserve lifecycle/topology evidence."
PI082-F04,Native and WASM packaging,NON_CONFORMANCE,HIGH,App packaged Pi runtime,"Explicit ASAR-unpack patterns exist and policy tests pass, but the advertised packaged-Pi proof launches only the legacy asset child and never its stronger production-route child; no frozen-head package/asset execution artifact is preserved.","projects/chirality-app-dev/frontend/package.json:88-117; projects/chirality-app-dev/frontend/scripts/run-packaged-pi-runtime-proof.mjs:420-514; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-STRUCT/RETURN.md",OPEN,App build/release owner,"Repair the entrypoint then build the accepted revision and preserve ASAR/unpacked inventories plus direct asset and production-route proof summaries."
PI082-F05,Notices,NON_CONFORMANCE_FOR_DISTRIBUTION,MEDIUM,Packaged dependency closure,"The shipped notice covers the four Pi-owned packages at 0.82.0 but explicitly leaves full packaged-closure notices outstanding; the 140-artifact closure spans six license families.","projects/chirality-app-dev/frontend/THIRD_PARTY_NOTICES_PI.md:3-38; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-DEP/RETURN.md",OPEN,App release owner,"Generate and verify exact packaged-closure notices before redistribution or release."
PI082-F06,Source regression and conformance,CONFORMANT,NONE,Current App/runtime source tree,"The latest current-tree-equivalent CI run passed npm ci, the 0.82.0 supply verifier, 1098 frontend tests with 4 skipped, typecheck, 15 Pi adapter tests, 11 Pi wire-integration tests, 3 lock-integrity tests, and 5 packaging-policy tests.","https://github.com/sgttomas/chirality/actions/runs/30778037021; projects/chirality-app-dev/frontend/src/__tests__/lib/pi-agent-engine-adapter.test.ts; projects/chirality-app-dev/frontend/src/__tests__/integration/pi-omlx-wire.integration.test.ts",PASS,App validation owner,"Rerun on the exact post-decision candidate; this does not substitute for packaged or live proof."
PI082-F07,Adapter identity,CONFLICT,BLOCKER,Root generic adapter and App executable adapter,"Root and App declare the same pi/omlx/package/version descriptor while exposing different implementations; the Desktop registers the App-local implementation and the identity schema cannot distinguish implementation family.","runtime/packages/engine-pi-omlx/src/pi-omlx-engine.ts:34-93; projects/chirality-app-dev/frontend/src/lib/harness/pi-agent-engine-adapter.ts:654-698; projects/chirality-app-dev/frontend/electron/runtime-host.ts:14-40; projects/chirality-app-dev/frontend/electron/runtime-host.ts:154-235; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-GOV/RETURN.md",OPEN,Root owner and SCOPE_CHANGE,"Select and bind a canonical implementation identity then rerun Root/App conformance and packaged evidence against it."
PI082-F08,Live model proof,STALE_EVIDENCE,HIGH,Pi/oMLX reliance evidence,"The preserved live oMLX proof is bound to Pi 0.80.10 and the reliance register requires repetition when the Pi pin changes; no 0.82.0 live proof was found.","projects/chirality-app-dev/execution/_Coordination/AgentRuns/PI_OMLX_SECOND_ENGINE_2026-07-21/LIVE_OMLX_PROOF_2026-07-22.json; projects/chirality-app-dev/docs/harness/reliance_boundary_register.md:112",OPEN,App validation owner,"Repeat the opt-in live proof at the ruled 0.82.0 candidate and preserve redacted evidence."
PI082-F09,Electron prerequisite authority,CONFLICT,HIGH,App prerequisite/toolchain,"D-APP-72 names Electron 43.1.1 while the executable manifest pins 43.2.0; no exact successor authority was found, so the Pi successor path must decide or explicitly separate this adjacent drift.","projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-72_RULING_2026-07-21.md:23-27; projects/chirality-app-dev/frontend/package.json:60-68; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/returns/E1-A2-GOV/RETURN.md",OPEN,App owner and SCOPE_CHANGE,"Include 43.2.0 in the successor fact set or restore/revalidate the ruled prerequisite."
PI082-F10,Approval boundary,DECISION_REQUIRED,BLOCKER,TM-ROOT-106 closeout,"Technical evidence supports continuing the V1 0.82.0 candidate but cannot approve it; closure still requires a Root decision record plus current validation evidence and later App supersession/affected-client action.","execution/_Coordination/_TaskManagement/RULING_2026-08-02_ROOT_HARVEST_SLATE.md:21-24; execution/_Coordination/NOTICE_D-APP-84_REV2_APP_PI_SANDBOX_ROOT_ROUTE_2026-08-02.md:28-59; execution/_Evaluation/PI_0820_CONCORDANCE_2026-08-02_97678A8/HANDOFF.md",OPEN,Human owner,"After the named evidence reruns issue the Root decision then verify the App successor and SCOPE_CHANGE propagation."
