CriterionID,Concern,DecisionClass,RequiredEvidence,AcceptanceRule,CurrentEvidence,CurrentVerdict,BlockingGate,Owner
PIA-AC01,Authority preservation,ROOT_DECISION,"Owner Option A ruling; D-APP-72; D-APP-84; Root route","No artifact claims approval or supersession before a later human decision.","Owner ruling explicitly preserves hold and 0.80.10 authority.",PASS,HOLD-PI-AUTHORITY,Human owner
PIA-AC02,Candidate basis identity,ROOT_DECISION,"BASIS.json; candidate file hashes; source commit; dirty-state record","Every tested byte maps to one exact candidate; branch names/latest pointers are insufficient.","OPTION_A_IDENTITY_BASIS.json binds current unchanged candidate hashes.",PASS_PRECURSOR,HOLD-IDENTITY,Root EVALUATION
PIA-AC03,Canonical implementation family,ROOT_DECISION,"ROOT_PI082_IDENTITY_OPTIONS.md; CANDIDATE_IDENTITY.schema.json; human validation-target selection","One implementation family is selected for validation and distinguishable in registry/fingerprint/evidence from alternatives.","Two same-descriptor implementations remain; no selection exists.",OPEN_BLOCKER,HOLD-IDENTITY,Root HELPS_HUMANS and human owner
PIA-AC04,Exact dependency closure,ROOT_DECISION,"PI_CLOSURE_MANIFEST.csv; exact install; npm ls; SRI check","All declared/resolved artifacts close at exact identities and all integrity/provenance checks pass.","E1 proves 139 published nested entries and 140 unique artifacts with 140/140 SRI/cache matches.",PASS_PRECURSOR,HOLD-FINAL-RERUN,App dependency validation
PIA-AC05,Install lifecycle,ROOT_DECISION,"LIFECYCLE_SCRIPT_MANIFEST.csv; install command record; produced-file/network evidence","Only exact allowlisted scripts run and observed effects match reviewed policy.","Static SRI-bound script review passes; realized clean-install effects not executed by E1.",OPEN,HOLD-FINAL-RERUN,App dependency validation
PIA-AC06,Source regression and conformance,ROOT_DECISION,"Exact-candidate runtime/frontend tests; typecheck; focused adapter/wire/identity tests; Claude/stub regression","All mandatory suites pass; skips and platform exclusions are explicit and accepted.","Current-tree-equivalent CI passes 1098 tests and focused Pi suites, but final identity candidate is not selected.",PASS_PRECURSOR,HOLD-FINAL-RERUN,App validation
PIA-AC07,Packaged proof entrypoint,ROOT_DECISION,"Entrypoint test and repaired script hashes","Advertised command launches and validates both direct asset and production-route children with independent fail closure.","Current command launches only legacy asset child.",OPEN_BLOCKER,HOLD-APP-REPAIR,App HELPS_HUMANS/WORKING_ITEMS
PIA-AC08,Native/WASM packaged behavior,ROOT_DECISION,"Exact macOS package; ASAR/unpacked manifests; native/WASM hashes/load results","Required packaged assets are present, unpacked as ruled, hash-bound, loadable under exact runtime, and exercised by the selected adapter path.","Policy patterns exist; no current durable exact-candidate execution artifact.",OPEN_BLOCKER,HOLD-PACKAGE-PROOF,App build validation
PIA-AC09,Production-route packaged behavior,ROOT_DECISION,"PACKAGED_PI_PRODUCTION_ROUTE_PROOF.json","Actual selected adapter/provider/tool/persistence path passes with exact identity, no ambient Pi/global install, no fallback, and redaction.","Historical strong proof is 0.80.10; current 0.82 production child is disconnected from advertised command.",OPEN_BLOCKER,HOLD-PACKAGE-PROOF,App build validation
PIA-AC10,Live oMLX behavior,ROOT_DECISION,"LIVE_OMLX_PROOF.json; redaction check; exact model/residency identity","Repeat governed read, denial, interruption, offline/bad-auth, no-fallback proof at selected candidate; secrets absent.","Preserved live proof is 0.80.10 and the reliance register requires rerun on pin change.",OPEN_BLOCKER,HOLD-LIVE-PROOF,App validation and human owner
PIA-AC11,Root/App identity conformance,ROOT_DECISION,"ADAPTER_IDENTITY.json; IDENTITY_COLLISION_TESTS.json; ROOT_APP_CONFORMANCE.json","Registry, fingerprints, sessions, package evidence, and client composition uniquely bind the selected implementation; alternative cannot collide.","Current descriptor/fingerprint cannot distinguish Root reference from App executable implementation.",OPEN_BLOCKER,HOLD-IDENTITY,Root validation
PIA-AC12,Electron prerequisite,APP_SUCCESSOR,"App successor candidate and SCOPE_CHANGE impact; exact toolchain proof","App explicitly accepts, rejects, or restores the 43.2.0 versus 43.1.1 fact; no silent prerequisite drift.","Executable manifest is 43.2.0; governing D-APP-72 fact is 43.1.1.",OPEN_BLOCKER,HOLD-APP-SUPERSESSION,App owner
PIA-AC13,Complete notices,RELEASE_ONLY,"THIRD_PARTY_NOTICE_MANIFEST.csv; COMPLETE_NOTICES.txt; package artifact hashes","Every packaged third-party artifact has verified license/copyright provenance.","Four Pi-owned packages covered; full packaged closure remains outstanding.",OPEN_RELEASE_HOLD,HOLD-DISTRIBUTION,App release owner
PIA-AC14,Native primitives and sandbox,FUTURE_CAPABILITY,"Separate P1/X1/H1 acceptance evidence","No native Read/Write/Edit/Bash or sandbox claim enters this version decision without separately ruled evidence.","Not implemented or evaluated; explicitly held.",OUT_OF_CURRENT_GATE,HOLD-NATIVE-PRIMITIVES,Root owner
PIA-AC15,Durable resume,FUTURE_CAPABILITY,"Separate R1 compatibility/sandbox identity and replay evidence","durableResume remains false until separately accepted and implemented.","Both descriptors declare durableResume false.",PASS_HOLD,HOLD-RESUME,Root owner
PIA-AC16,App supersession,APP_SUCCESSOR,"Root decision; App successor ruling; App SCOPE_CHANGE snapshot","No App authority changes unless Root accepts and App independently rules/applies its successor.","No successor exists; D-APP-72 remains operative.",HELD,HOLD-APP-SUPERSESSION,App owner
PIA-AC17,Task Management closure,TASK_MANAGEMENT,"Later decision and validation evidence; TASK_MANAGEMENT owner ruling","Only later TASK_MANAGEMENT session may change or archive TM-ROOT-106.","Outside this run.",HELD,HOLD-TM,Root TASK_MANAGEMENT
