ItemID,Route,Subject,Classes,Rows,Deliverables,Question,Evidence,BlockedOnPacket
ER-01,REVIEW,Local semantic departures: adopt or restore,T5A-C06,10,DEL-07-01;DEL-07-02;DEL-09-05;DEL-11-02;DEL-12-03;DEL-12-04;DEL-12-05,"Per row, does the reviewer adopt the implemented semantics (then R5 text catch-up) or require the text to prevail (then a code-fix brief)? For DEL-12-05, run the threat-model review its own trigger list requires.","R3/TASKS/T5A_CLASSES.md T5A-C06; e.g. DEL-12-05:SOW#CLM-036, DEL-12-03:SOW#CLM-005.r05",-
ER-02,REVIEW,Cause or vehicle contested in adopted resolutions,T5A-C08,18,16 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),Harmonise the cause (and the DEL-06-04/05 MEMORY vehicle) on each row before its text repair; follow the T8 SR-1 reading for the .s02 and SEMANTIC_READY-adjacent rows.,R3/TASKS/T5A_CLASSES.md T5A-C08; CORPUS_CLAIMS OtherCorrections (FIELD/CONTESTED/OBSERVED/RESOLVED_PAIR); T8_ROUTE_DISAGREEMENTS DEL-10-01/10-03:SOW#CLM-004,C7 (partial);A5 (partial);A3 (partial)
ER-03,REVIEW,SOW parity and claim-map re-review against current SOW bytes (CP-09),T5B-C01,175,84 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"Re-review each affected ScopeOfWork.md (parity and claim map) at its current bytes, after that deliverable's SOW text repairs, so the OUT-001/VER-001 rows cite a PASS record whose production hash equals the reviewed SOW.",R3/TASKS/T5B_CLASSES.md T5B-C01; T9_LIFECYCLE.csv item STALE_VV:SRE-1 (169 CP-09 rows); EVIDENCE_MAP.csv,C6 (partial);B7 (partial)
ER-04,REVIEW,Protected-content and boundary review records predate later changes,T5B-C02,12,DEL-04-01;DEL-04-02;DEL-04-03;DEL-04-05;DEL-05-01;DEL-11-01;DEL-11-02;DEL-11-03,"Run a dated protected-content review of each named crate, fixture set, guide and SOW at current bytes and bind the reviewed hashes; the rows then cite it.",R3/TASKS/T5B_CLASSES.md T5B-C02; T9_LIFECYCLE.csv item STALE_VV:SRE-2 (7 INVARIANT rows); W2_GATE_ASSESSMENT.md (Verification and evidence gaps); _REGISTER.md D-20,C2
ER-05,REVIEW,Human review dispositions pending,T6-C05,35,23 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"Record HumanDisposition for each open Review_Findings row and each named sufficiency act, one review packet per deliverable, reading kit-era findings against the current ScopeOfWork.md.",R3/TASKS/T6_CLASSES.md T6-C05; e.g. DEL-12-01:STATUS#remaining/R02 (Review_Findings.csv lines 2-3 at freeze),C5 (partial);C6 (partial)
ER-06,REVIEW,Protected-content / IP-data review record not located,T7-C09,31,14 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),Run one protected-content and private-data review per fixture surface (about 11 surfaces) and record a disposition; escalate the single-value dimensional-table question if review cannot settle it.,R3/TASKS/T7_CLASSES.md T7-C09; freeze validation/evidence/releases/ absent (checked),C2;C5 (partial)
ER-07,REVIEW,Other evidence not located: smallest checks,T7-C10,14,DEL-00-02;DEL-00-04;DEL-02-01;DEL-02-02;DEL-02-03;DEL-03-05;DEL-07-01;DEL-07-02;DEL-07-06;DEL-07-09;DEL-08-05;DEL-15-02,Run each named smallest check read-only (one no-bypass trace for four rows); the native re-observation needs a separately authorised runtime observation.,"R3/TASKS/T7_CLASSES.md T7-C10; T9 REMAINING_CENSUS rows DEL-02-02, DEL-07-01, DEL-07-06 (UNKNOWN items, C6(h))",-
ER-08,ENGINEERING_AUTHORITY,COG coordinate convention and reference frame,T6-C06 (1 of 4),1,DEL-03-05,Which coordinate convention and reference frame govern captured centre-of-gravity values?,R3/TASKS/T6_CLASSES.md T6-C06; WAVES/W2/PKG-03/DEL-03-05/DEL-03-05_forward.csv key DEL-03-05:SOW#CLM-010.r10,-
ER-09,ENGINEERING_AUTHORITY,Retained-spring mixed-friction numerical adequacy basis,T6-C06 (1 of 4),1,DEL-04-04,"What vetted basis (benchmark, witness or source) would qualify retained-spring mixed-friction behaviour, and is one named?",R3/TASKS/T6_CLASSES.md T6-C06; WAVES/W2/PKG-04/DEL-04-04/DEL-04-04_forward.csv key DEL-04-04:STATUS#remaining/R03,-
ER-10,ENGINEERING_AUTHORITY,Independent validation of field-level trace completeness,T6-C06 (1 of 4),1,DEL-13-04,What independent validation basis would establish field-level trace completeness for the physical-to-analytical transform?,R3/TASKS/T6_CLASSES.md T6-C06; WAVES/W3/PKG-13/DEL-13-04/DEL-13-04_forward.csv key DEL-13-04:STATUS#remaining/R03,-
ER-11,ENGINEERING_AUTHORITY,Disposition of two withheld diagnostic-work unit witnesses,T6-C06 (1 of 4),1,DEL-17-06,"Are the two SN-UNIT-WITNESS-WITHHELD-DIAGNOSTIC-WORK diagnostics in the accepted 830-row fixture an accepted disposition, or must witnesses be supplied?",R3/TASKS/T6_CLASSES.md T6-C06; WAVES/W3/PKG-17/DEL-17-06/DEL-17-06_forward.csv key DEL-17-06:STATUS#remaining/R01,-
ER-12,ENGINEERING_AUTHORITY,Pressure reference model (DEL-05-03),T7-C07 (2 of 7),2,DEL-05-03,"After the owner lifts the D01-D06 hold, which pressure reference model (thin-wall membrane or exact annulus) and which companion decisions govern, and what validation basis applies?",R3/TASKS/T7_CLASSES.md T7-C07; _REGISTER.md D-67 (dormant pressure kernel only),C3
ER-13,ENGINEERING_AUTHORITY,Independent conversion and normalisation witness (DEC-018),T7-C07 (1 of 7),1,DEL-02-02,What independent witness would validate unit conversion and normalisation as DEC-018 requires?,R3/TASKS/T7_CLASSES.md T7-C07; WAVES/W2/PKG-02/DEL-02-02/DEL-02-02_forward.csv key DEL-02-02:STATUS#remaining/R05,-
ER-14,ENGINEERING_AUTHORITY,"Validation basis for comparison tolerances, comparison mechanics and the transform 3D frame target",T7-C07 (4 of 7),4,DEL-13-04;DEL-14-04;DEL-14-05,"Name a vetted validation basis (benchmark, witness or source) for tolerance suitability and comparison mechanics (DEL-14-04, DEL-14-05) and for the 3D centerline/frame target (DEL-13-04); the section-property oracle does not qualify.",R3/TASKS/T7_CLASSES.md T7-C07; T9_LIFECYCLE.csv T9-C11b and REMAINING_CENSUS DEL-14-05,C3 (context)
ER-15,REVIEW_BEFORE_R5,CONTEXT SURFACE rows restating the keyed pins (contested split),T4A-C04,68,68 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"One consistency reading for the 102 whole-file CONTEXT rows: are these 68 non-aligned rows (against 30 ALIGNED) to be read as the same situation as the keyed CS-01/CS-04 rows, before the T4A-C01 tranche repairs the files?","R3/TASKS/T4A_CLASSES.md T4A-C04; OtherCorrections CONTESTED on DEL-05-01..03, DEL-10-01..03",C7 (partial);A5 (partial)
ER-16,REVIEW_BEFORE_R5,Setup-session framing overtaken,T5A-C01,205,45 deliverables (reproduce via filter in ENGINEERING_AND_REVIEW.md),"Confirm, per deliverable, that the retire-or-mark-historical text is accurate before the R5 revision; the revision must not set a lifecycle state.",R3/TASKS/T5A_CLASSES.md T5A-C01,A5 (partial);C7 (partial)
