PackageID,DeliverableID,DeliverableName,LifecycleState,CriticalOpen,MajorOpen,MinorOpen,InfoOpen,TBDHumanDispositions,IssueReadiness,NextAction
PKG-02,DEL-02-01,Canonical domain model schema,CHECKING,0,0,1,4,5,HOLD,Human disposition required for all existing AGENT_CHECK findings before later ISSUED consideration.
PKG-02,DEL-02-02,Unit system and dimensional-analysis core contract,CHECKING,0,0,2,2,4,HOLD,Human disposition required for all existing AGENT_CHECK findings before later ISSUED consideration.
PKG-02,DEL-02-03,Code-neutral analysis boundary model,CHECKING,0,0,3,0,3,HOLD,Human disposition required for all existing AGENT_CHECK findings before later ISSUED consideration.
PKG-02,DEL-02-04,Plugin and extension domain contracts,CHECKING,0,0,1,2,3,HOLD,Human disposition required for all existing AGENT_CHECK findings before later ISSUED consideration.
PKG-02,DEL-02-05,Project persistence and round-trip serialization,CHECKING,0,0,1,3,4,HOLD,Human disposition required for all existing AGENT_CHECK findings before later ISSUED consideration.
PKG-06,DEL-06-03,Required-input completeness checker,CHECKING,0,0,0,0,0,CLEAN_FOR_HUMAN_GATE,No review findings recorded in this tranche; later lifecycle action remains human-gated.
PKG-08,DEL-08-04,Result export format,CHECKING,0,0,0,0,0,CLEAN_FOR_HUMAN_GATE,No review findings recorded in this tranche; later lifecycle action remains human-gated.
PKG-08,DEL-08-05,Report protected-content linter,CHECKING,0,0,0,0,0,CLEAN_FOR_HUMAN_GATE,No review findings recorded in this tranche; later lifecycle action remains human-gated.
PKG-17,DEL-17-01,CAEPIPE and export-format source basis,CHECKING,0,0,0,0,0,CLEAN_FOR_HUMAN_GATE,No review findings recorded in this tranche; later lifecycle action remains human-gated.
PKG-17,DEL-17-02,"Export package, profile, and stable ID map contracts",CHECKING,0,0,1,0,1,HOLD,Human disposition required for RF-001 before later ISSUED consideration.
PKG-17,DEL-17-03,Native open JSON export package,CHECKING,0,1,1,0,2,HOLD,Human disposition required for RF-001 and RF-002; RF-001 is major and blocks later ISSUED consideration until dispositioned.
