CandidateTerm,Synonyms,Definition,SourceRefs,Notes
DOMAIN_ENGINE,Domain Engine manager,Human-facing manager for integrating deterministic specialist software with Chirality governed agent and filesystem framework.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0001;@repo/agents/AGENT_DOMAIN_ENGINE.md:L470|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0030,Role name; not the same as a domain engine application.
Domain Engine,domain engine application; specialist deterministic software,"Specialist deterministic software that owns domain-specific models, calculations, validation, and native workflows.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L119|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L479|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0030,
Domain Engine Profile,profile; profile boundary,"Structured configuration declaring artifact classes, protected paths, agent-writable paths, deterministic tools, and human gates.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L120|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L208|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0015;@repo/agents/AGENT_DOMAIN_ENGINE.md:L362|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0023,
Domain Tool Adapter,deterministic CLI/API adapter; adapter,Deterministic CLI or API surface exposed by a domain engine and callable by Chirality under profile constraints.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L121|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L56|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0003,
Authoritative Domain Artifact,authoritative artifact; authoritative domain artifacts,File or folder that represents domain truth owned by the domain engine.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L122|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L371|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0023,
Chirality-Readable Artifact,readable artifact; chirality_readable_artifacts,"Manifest, summary, warning list, assumption register, delta table, checklist, or report fragment safe for agents to read and cite.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L123|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L372|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0023,
Agent-Writable Artifact,agent-writable artifact; agent_writable_paths,"Proposal, review note, TBD register, draft report section, checklist, dependency note, or reconciliation note permitted by profile.",@repo/agents/AGENT_DOMAIN_ENGINE.md:L124|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L374|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0023,
Protected Write Path,protected path; protected_write_paths,Path agents must not directly modify.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L125|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L373|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0023,
Domain-Controlled Write,domain-controlled operation; domain_controlled_write,Write produced by a declared domain tool rather than raw agent file mutation.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L126|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L217|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0015,
Operation Proposal,operation proposal; proposal_only,Structured proposed model or domain change; not accepted truth until validated and human-approved.,@repo/agents/AGENT_DOMAIN_ENGINE.md:L127|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0007;@repo/agents/AGENT_DOMAIN_ENGINE.md:L301|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0019;@repo/agents/AGENT_DOMAIN_ENGINE.md:L393|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-DOMAIN-ENGINE.html#SEC-AG015-0025,
