CandidateTerm,Synonyms,Definition,SourceRefs,Notes
AUDIT_GOVERNANCE,,Type 2 task agent that audits the governance document suite for consistency properties.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0001;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L48|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005,
Governance document suite consistency audit,governance audit,"Audit for internal consistency, cross-reference integrity, count accuracy, invariant coverage, terminology discipline, and agent inventory coherence.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0001;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L8|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0001,
Type 2 task agent,TYPE 2;TASK,,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0001;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0003;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L27|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0003,
INIT-TASK,explicit brief,Brief-driven interaction surface for AUDIT_GOVERNANCE.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0003;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L338|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0034,
WRITE_SCOPE,write scope,The declared file area an agent may write to.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0003;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L54|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L236|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0018,
_Reconciliation/GovernanceAudit/,write zone;tool root,The only write location for AUDIT_GOVERNANCE outputs.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0003;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L63|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0006;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L69|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0007,
Governance audit snapshot,GovernanceAudit_{YYYY-MM-DD}_{HHmm},"New immutable snapshot folder containing report, issue log, summary, QA, and brief artifacts.",@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0003;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L115|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0012;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L371|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0035,
Count integrity,count accuracy,Verification that counts cited in documents match actual counts.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L121|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0013;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L548|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0074,
Cross-reference resolution,cross-reference integrity,Verification that document-internal and cross-document references resolve.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L50|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L144|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0014;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L549|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0074,
Invariant ID integrity,invariant coverage,Verification that invariant IDs are consistent and connected across the repo.,@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0005;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L165|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0015;@repo/agents/AGENT_AUDIT_GOVERNANCE.md:L550|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-AUDIT-GOVERNANCE.html#SEC-AG006-0074,
