intake_id,ref,source_item_id,planned_action,target_deliverable_id,grounds
1,INTK-0001,[PKG-62],park,,Parked: [PKG-62] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
2,INTK-0002,[PKG-63],park,,Parked: [PKG-63] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
3,INTK-0003,[PKG-64],park,,Parked: [PKG-64] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. same statement text as [PKG-72] (INTK-0010) with a different need-by; possible source duplicate left un-collapsed (exact-duplicate rule requires matching owner and need-by). (D-PEC-10 triage-01 R3-A)
4,INTK-0004,[PKG-65],park,,Parked: [PKG-65] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
5,INTK-0005,[PKG-67],park,,Parked: [PKG-67] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
6,INTK-0006,[PKG-68],park,,Parked: [PKG-68] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. same statement text as [PKG-79] (INTK-0257) with a different suggested owner and need-by; left un-collapsed. (D-PEC-10 triage-01 R3-A)
7,INTK-0007,[PKG-69],park,,Parked: [PKG-69] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
8,INTK-0008,[PKG-70],park,,Parked: [PKG-70] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
9,INTK-0009,[PKG-71],park,,Parked: [PKG-71] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
10,INTK-0010,[PKG-72],park,,Parked: [PKG-72] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. same statement text as [PKG-64] (INTK-0003) with a different need-by; left un-collapsed. (D-PEC-10 triage-01 R3-A)
11,INTK-0011,[PKG-73],park,,Parked: [PKG-73] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
12,INTK-0012,[PKG-74],park,,Parked: [PKG-74] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
13,INTK-0013,[PKG-75],park,,Parked: [PKG-75] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
14,INTK-0014,[PKG-76],park,,Parked: [PKG-76] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
15,INTK-0015,[PKG-77],owner,,R1(c): requesting Vector's (third-party contractor) native FEED files — contractual/third-party judgment
16,INTK-0016,[PKG-78],park,,Parked: [PKG-78] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
17,INTK-0017,[PKG-81],park,,Parked: [PKG-81] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
18,INTK-0018,[PKG-82],park,,Parked: [PKG-82] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. composite row naming multiple subjects (Process Design Basis / Process Simulation / HMB); no single anchor. (D-PEC-10 triage-01 R3-A)
19,INTK-0019,[PKG-83],convert_wi,450,Converted to a work item anchored to MDL deliverable id 450 ('Design Basis Memorandum') — the statement remainder of [PKG-83] resolves to exactly one MDL deliverable title (pre-run scan); owner and need-by carried verbatim from the source row. (D-PEC-10 triage-01 R2)
20,INTK-0020,[PKG-84],park,,Parked: [PKG-84] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. nearest MDL title 'Mechanical Equipment List' is not an exact match; anchor ambiguous. (D-PEC-10 triage-01 R3-A)
