CandidateTerm,Synonyms,Definition,SourceRefs,Notes
deliverable-consistency,,A skill that runs a deliverable-local consistency sweep across production documents in one deliverable.,@repo/skills/deliverable-consistency/SKILL.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0011;@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L41|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0004,
generic TASK shell,TASK generic shell,,@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0003;@repo/skills/deliverable-consistency/SKILL.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0012,
ScopePath,,A required deliverable-consistency brief field.,@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L40|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0004;@repo/skills/deliverable-consistency/SKILL.md:L34|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0014,
RuntimeOverrides.DELIVERABLE_PATH,DELIVERABLE_PATH,A required runtime override identifying the deliverable path.,@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L42|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0004;@repo/skills/deliverable-consistency/SKILL.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0014,
ApplyEdits,ApplyEdits: false;ApplyEdits: true,A brief control whose false setting is the normal safe default and whose true setting permits minimal corrections only with authorization.,@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0006;@repo/skills/deliverable-consistency/BRIEF_SCHEMA.md:L54|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0006;@repo/skills/deliverable-consistency/TOOL_POLICY.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0029,
FocusDocs,RuntimeOverrides.FocusDocs,Limits the sweep to named production documents and defaults to all production documents.,@repo/skills/deliverable-consistency/SKILL.md:L50|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0016,
Strictness,RuntimeOverrides.Strictness,Sets conservative or aggressive finding posture and defaults to conservative.,@repo/skills/deliverable-consistency/SKILL.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0016,
MaxFindings,RuntimeOverrides.MaxFindings,A soft cap on reported findings that defaults to 10.,@repo/skills/deliverable-consistency/SKILL.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0016,
CheckIdentity,RuntimeOverrides.CheckIdentity,Checks folder and document naming consistency and defaults to true.,@repo/skills/deliverable-consistency/SKILL.md:L53|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0016,
CheckUnsourcedNumerics,RuntimeOverrides.CheckUnsourcedNumerics,Flags numeric statements needing evidence review and defaults to true.,@repo/skills/deliverable-consistency/SKILL.md:L54|domains/chirality/_Decomposition/source_review_html/SRC-SKILLPACK-DELIVERABLE-CONSISTENCY.html#SEC-SKP009-0016,
