PackageID,DeliverableID,DeliverableName,DigestPath,DeliverablePath,LifecycleState,DependenciesRows,QualityFlags,SourcePath
PKG-00,DEL-00-01,Architecture decision record baseline,execution/_Evaluation/content-digests/PKG-00/DEL-00-01.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,SEMANTIC_READY,0,9,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline/_CONTEXT.md
PKG-00,DEL-00-02,Repository and module boundary architecture,execution/_Evaluation/content-digests/PKG-00/DEL-00-02.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,SEMANTIC_READY,0,8,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture/_CONTEXT.md
PKG-00,DEL-00-03,Application service command-query-job model,execution/_Evaluation/content-digests/PKG-00/DEL-00-03.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,SEMANTIC_READY,0,8,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model/_CONTEXT.md
PKG-00,DEL-00-04,Persistence and schema versioning architecture,execution/_Evaluation/content-digests/PKG-00/DEL-00-04.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,SEMANTIC_READY,0,8,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture/_CONTEXT.md
PKG-00,DEL-00-05,GUI state and interaction architecture,execution/_Evaluation/content-digests/PKG-00/DEL-00-05.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture,SEMANTIC_READY,0,8,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture/_CONTEXT.md
PKG-00,DEL-00-06,"Diagnostics, warning, and result-envelope contract",execution/_Evaluation/content-digests/PKG-00/DEL-00-06.md,"execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",SEMANTIC_READY,0,8,"execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract/_CONTEXT.md"
PKG-00,DEL-00-07,API boundary and adapter contract map,execution/_Evaluation/content-digests/PKG-00/DEL-00-07.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,SEMANTIC_READY,0,8,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map/_CONTEXT.md
PKG-00,DEL-00-08,Layered software test and acceptance strategy,execution/_Evaluation/content-digests/PKG-00/DEL-00-08.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,SEMANTIC_READY,0,8,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy/_CONTEXT.md
PKG-01,DEL-01-01,Project governance baseline,execution/_Evaluation/content-digests/PKG-01/DEL-01-01.md,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline",IN_PROGRESS,13,7,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline/_CONTEXT.md"
PKG-01,DEL-01-02,Copyright and protected-data boundary policy,execution/_Evaluation/content-digests/PKG-01/DEL-01-02.md,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy",IN_PROGRESS,13,8,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy/_CONTEXT.md"
PKG-01,DEL-01-03,Contributor certification workflow,execution/_Evaluation/content-digests/PKG-01/DEL-01-03.md,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-03_Contributor certification workflow",IN_PROGRESS,14,8,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-03_Contributor certification workflow/_CONTEXT.md"
PKG-01,DEL-01-04,Professional responsibility and product-claims policy,execution/_Evaluation/content-digests/PKG-01/DEL-01-04.md,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy",IN_PROGRESS,11,8,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/_CONTEXT.md"
PKG-02,DEL-02-01,Canonical domain model schema,execution/_Evaluation/content-digests/PKG-02/DEL-02-01.md,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema",IN_PROGRESS,13,6,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/_CONTEXT.md"
PKG-02,DEL-02-02,Unit system and dimensional-analysis core contract,execution/_Evaluation/content-digests/PKG-02/DEL-02-02.md,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract",IN_PROGRESS,17,8,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/_CONTEXT.md"
PKG-02,DEL-02-03,Code-neutral analysis boundary model,execution/_Evaluation/content-digests/PKG-02/DEL-02-03.md,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model",IN_PROGRESS,11,8,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/_CONTEXT.md"
PKG-02,DEL-02-04,Plugin and extension domain contracts,execution/_Evaluation/content-digests/PKG-02/DEL-02-04.md,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-04_Plugin and extension domain contracts",IN_PROGRESS,12,9,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-04_Plugin and extension domain contracts/_CONTEXT.md"
PKG-02,DEL-02-05,Project persistence and round-trip serialization,execution/_Evaluation/content-digests/PKG-02/DEL-02-05.md,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization",IN_PROGRESS,13,8,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/_CONTEXT.md"
PKG-03,DEL-03-01,Material library schema with provenance,execution/_Evaluation/content-digests/PKG-03/DEL-03-01.md,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-01_Material library schema with provenance",IN_PROGRESS,12,8,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-01_Material library schema with provenance/_CONTEXT.md"
PKG-03,DEL-03-02,Pipe section and component library schema,execution/_Evaluation/content-digests/PKG-03/DEL-03-02.md,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-02_Pipe section and component library schema",IN_PROGRESS,10,9,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-02_Pipe section and component library schema/_CONTEXT.md"
PKG-03,DEL-03-03,Bend and elbow component model fields,execution/_Evaluation/content-digests/PKG-03/DEL-03-03.md,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-03_Bend and elbow component model fields",IN_PROGRESS,11,8,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-03_Bend and elbow component model fields/_CONTEXT.md"
